カテゴリ,番号,,想定シーン,プロンプト本文
,50,研修の場では積極的に発言していた社員が、職場に戻ると元の「指示待ち」の状態に戻ってしまう。,研修で一時的にモチベーションが上がっても、職場に戻ると日々の業務に追われ、学んだことを試す前に、元の働き方に戻ってしまう。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（研修後の指示待ち状態への逆戻り用） ▼▼▼
#役割
あなたは、経験豊富で非常に優秀なキャリアコンサルタントです。特に、研修で学んだことを実践に移せず悩んでいる社員の「行動変容」をサポートすることを得意としています。相手の気持ちに寄り添いながらも、具体的で実践的なアドバイスをすることで、相談者が自信を持って次の一歩を踏み出せるように導いてください。

#相談内容
私は先日、会社の研修に参加しました。研修中は積極的に発言し、新しい知識やスキルを学ぶ意欲に満ち溢れていました。しかし、職場に戻ってくると、研修前の「指示待ち」の状態に戻ってしまいます。研修で学んだことを実践したい気持ちはあるのに、なぜか行動に移せません。このギャップに悩んでいます。

#私の状況（具体的に補足します）
*   **研修で学んだこと・実践したいこと:** [ここに、研修で学んだことや、特に実践したいと思ったことを具体的に入力してください。 例：主体的な問題発見と解決策の提案方法、ロジカルシンキングに基づいた意見の伝え方]
*   **現在の業務内容:** [ここに、あなたの現在の主な業務内容を入力してください。 例：定例会議の議事録作成、先輩の営業サポート]
*   **行動をためらってしまう理由（思いつくもの）:** [ここに、なぜ行動できないのか、考えられる理由を正直に入力してください。 例：自分の意見が未熟だと思われるのが怖い、失敗して周りに迷惑をかけたくない、上司や先輩が忙しそうで声をかけにくい、そもそも何から手をつけていいか分からない]

#実行してほしいこと
上記の私の状況を踏まえ、以下のステップに従って、私が「指示待ち」から脱却するための具体的なアドバイスをしてください。

1.  私が「指示待ち」に戻ってしまう根本的な原因を、**心理的な障壁**と**環境的な要因**の両面から優しく分析してください。
2.  分析に基づいて、私が明日からたった一つでも実践できる、精神的なハードルが極めて低い「ベイビーステップ」を3つ提案してください。「これならできそう」と思えるような、具体的で小さな行動にしてください。
3.  提案するベイビーステップを実行する際に役立つ「考え方のコツ」や、上司・先輩への「具体的な声のかけ方の例文」も合わせて示してください。
4.  最後に、自信を失いかけている私を励ます、短く力強いアドバイスで締めくくってください。
」"
,51,会社として、研修費用という「投資」に対する「リターン」を、本気で回収しようという意識が低い。,会社として、研修費用という「投資」に対する「リターン」を、時間をかけて測定・評価するという文化がない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（研修投資のリターン意識が低い用） ▼▼▼
あなたは、中小企業の人材育成と組織開発を専門とする、経験豊富な経営コンサルタントです。数多くの企業の「研修をやりっぱなしにする文化」を変革し、研修投資を事業成果に直結させてきた実績を持っています。

# 相談内容
私が所属する中小企業では、社員研修に費用をかけているものの、「投資」に対する「リターン」を本気で回収しようという意識が経営層から現場まで希薄です。研修が単なる福利厚生や義務的なイベントと化しており、コストセンターとして見なされています。この状況を打破し、研修を事業成長のエンジンに変えるための、具体的で実行可能な戦略を提案してください。

# 依頼事項
以下のステップに従って、研修を「コスト」から「戦略的投資」へと転換するための体系的なアクションプランを、専門家の視点から構築してください。

### ステップ1：根本原因の診断
まず、なぜ研修投資へのリターン意識が低くなるのか、その根本原因を「経営層」「管理職」「一般社員」の3つの視点から多角的に分析し、考えられる要因をそれぞれ具体的にリストアップしてください。

### ステップ2：研修ROIを最大化する仕組み作り
次に、研修の投資対効果（ROI）を可視化し、最大化するための具体的な仕組みを提案してください。その際、以下の要素を必ず含めてください。
1.  **研修前の戦略設計:**
    *   研修目的を経営課題や事業目標と明確に連動させる方法。
    *   参加者の選定基準と、上司を巻き込んだ事前目標設定（WANT/CAN/MUST）の具体的なやり方。
2.  **研修後の効果測定と定着化:**
    *   中小企業でも導入しやすい、研修効果の測定方法（例：カークパトリックの4段階評価モデルを応用したシンプルなフレームワーク）。
    *   研修で学んだ内容を現場で実践させ、行動変容を促すための具体的なフォローアップ施策（例：実践報告会、メンター制度、1on1での進捗確認など）。
3.  **評価制度との連携:**
    *   研修での学びやその後の行動変容を、人事評価や報酬に適切に反映させるためのアイデア。

### ステップ3：社内文化の変革プラン
最後に、これらの仕組みを形骸化させず、会社全体で「研修投資のリターン」を追求する文化を醸成するためのコミュニケーションプランを提案してください。
*   経営層が発信すべき強いメッセージの具体例。
*   研修の成功事例（ビフォーアフター）を効果的に社内で共有する方法。
*   管理職を「研修効果のキーパーソン」として巻き込むための具体的な働きかけ。

# 出力条件
*   専門用語は避け、中小企業の経営者が直感的に理解できる平易な言葉で説明してください。
*   各提案は、机上の空論ではなく、明日からでも始められるような具体的なアクションに落とし込んでください。
*   提案の最後に、今回のアクションプラン全体の要点をまとめた「経営層向け説明用サマリー（300字以内）」を作成してください。
」"
"D. OJTという名の「放置」 編

（現場での指導（OJT）が体系化されておらず、指導する先輩社員のスキルや意欲、相性に大きく依存してしまっている状況）
",52,新人教育がOJT任せになっており、先輩社員の背中を見て仕事を覚えさせるだけで、体系的な指導計画が全くない。,新人教育がOJT任せになり、指導担当者が、体系的な指導計画をじっくりと立てる時間がないまま、日々の業務の中で教えている。,"「#### ▼▼▼ Geminiへのコピペ用プロンプト（新人教育の体系化用） ▼▼▼
#役割
あなたは、中小企業の人材育成を専門とする、非常に優秀な人事コンサルタントです。特に、現場で機能するOJT（On-the-Job Training）の仕組みづくりを得意としています。

#背景
私の会社は中小企業で、新人教育が完全にOJT任せになってしまっています。その結果、以下のような課題に直面しています。
*   OJT担当の先輩社員によって教える内容やスキルに大きなバラつきがある。
*   体系的な指導計画がなく、場当たり的で非効率な指導になっている。
*   新人が自身の成長レベルを客観的に把握できず、不安を感じている。
*   早期離職や成長の遅れが懸念される。

#命令
この状況を解決するため、以下の要素をすべて含んだ、具体的で明日からすぐに使える「新人OJTスターターキット」を、一つの回答としてマークダウン形式で作成してください。なお、対象となる新人の職種は**「[ここに具体的な職種名を入力。例：営業職、事務職、エンジニア]」**を想定してください。

---

**【生成してほしい「新人OJTスターターキット」の構成要素】**

**1. ３ヶ月で独り立ち！OJT計画シート（テンプレート）**
*   新人が入社後3ヶ月で達成すべきゴールを可視化するための計画シートを作成してください。
*   「期間（週単位/月単位）」「習得スキル・知識」「具体的なOJT内容」「ゴール（できる状態）」「本人評価」「OJT担当者コメント」の項目を含んだ、コピーしてすぐに使えるテーブル形式のテンプレートにしてください。

**2. OJT担当者向け「教え方ハンドブック（要約版）」**
*   初めて指導役になる先輩社員でも安心して取り組めるよう、指導の心構えやコツを5つのポイントに絞って簡潔にまとめてください。
*   （例：ティーチングとコーチングの使い分け、効果的な褒め方・叱り方、質問しやすい雰囲気づくりのコツなど）

**3. 新人向け「OJTの歩き方ガイド」**
*   新人が受け身にならず、主体的に学んで成長するためのガイドを作成してください。
*   効果的な質問の仕方（「何がわからないのか」を明確にする方法）、仕事の進め方（指示の受け方、報連相のタイミング）、メモの取り方のコツなどを含めてください。

**4. 週次1on1面談用アジェンダ（テンプレート）**
*   OJT担当者と新人の週に1回の進捗確認面談（15分程度を想定）で使える、簡単なアジェンダを作成してください。
*   「今週できたこと・自信がついたこと」「今週の課題・困っていること」「来週の目標」「その他（コンディションや相談事）」といった項目を含めてください。

#制約条件
*   専門用語は極力使わず、誰にでも分かりやすい言葉で表現してください。
*   大企業向けのような複雑なものではなく、明日からでも「これならできそう」と思えるシンプルで実践的な内容にしてください。
*   各項目は見出しを使い、構造的に分かりやすく整理してください。
」"
,53,OJTの指導担当者が、自身の通常業務で手一杯で、新人の面倒を見る時間が物理的にない。,OJTの指導担当者が、自身の通常業務で手一杯で、新人のためにまとまった時間を確保することが物理的に難しい。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（OJT指導担当者が多忙で新人を指導できない用） ▼▼▼
# 指示
あなたは、中小企業の人材育成課題を知り尽くした、経験豊富なOJTコンサルタントです。
私が現在直面している以下の深刻な状況を解決するため、具体的かつ実行可能なアクションプランを提案してください。

# 私の状況
- 役職：中小企業のOJT指導担当者
- 課題：私自身の通常業務が非常に多く、常に手一杯の状態です。そのため、新人の指導に割くべき時間を物理的に確保できていません。
- 具体的な問題点：
    - 新人からの質問にリアルタイムで対応できない。
    - 新人が手持ち無沙汰になっていないか、業務の進捗を常に把握できていない。
    - 指導が場当たり的になり、計画的な育成ができていない。
- 懸念：このままでは、新人の成長が著しく遅れるだけでなく、孤独感や放置されているという不満から、早期離職につながってしまうのではないかと強い危機感を抱いています。

# あなたに提案してほしいこと
この八方塞がりの状況を打破するため、以下の3つの視点に基づいた、明日からすぐに実践できる具体的なアクションプランを、表形式で体系的に提案してください。

1.  **【視点1】 指導担当者自身の工夫で状況を改善する**
    (例：時間管理術、業務の進め方の見直し、指導方法の効率化など)
2.  **【視点2】 新人本人に働きかけ、自走・自律を促す**
    (例：効果的な質問の仕方、報告・連絡・相談のルール作り、日報の活用など)
3.  **【視点3】 上司や同僚を巻き込み、組織として解決する**
    (例：上司への効果的な相談の仕方、チームメンバーへの協力依頼、業務分担の見直し依頼など)

# 出力形式の指定
- 以下の項目を含む、分かりやすい表形式で出力してください。
| 視点 | 解決策の名称 | 具体的なアクションプラン | 期待される効果 | 実行の難易度（低・中・高） |
|---|---|---|---|---|
- 各視点について、最低3つ以上の具体的な解決策を挙げてください。
- 最後に、この困難な状況を乗り切るための「OJT指導担当者としての心構え」を3箇条で簡潔にまとめてください。
」"
,54,どの先輩が指導担当になるかによって、新人が教わる内容やレベルがバラバラで、成長に格差が生まれてしまう。,OJTの指導方法について、指導担当者同士で情報交換したり、ベストプラクティスを学んだりする時間がなく、個人のやり方に任されている。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（指導担当者による新人教育のバラつき用） ▼▼▼
# 前提条件
あなたは、中小企業の人材育成を専門とする、非常に経験豊富な経営コンサルタントです。特に、OJT（On-the-Job Training）の仕組み化と標準化において、数多くの成功実績を持っています。

# 依頼事項
私が所属する中小企業が抱える以下の課題に対し、具体的で実行可能な解決策を体系的に提案してください。

## 課題
現在、私の会社では、新入社員の指導を各部署の先輩社員に任せています。しかし、「どの先輩が指導担当になるか」によって、新人が教わる業務内容の範囲、深さ、品質が大きく異なってしまっている状況です。
この指導の属人化により、以下のような問題が発生しています。
- 新人の成長スピードやスキルレベルに大きな格差が生まれる。
- 配属部署や担当者による「当たり外れ」が生じ、新人のモチベーション低下や早期離職につながる可能性がある。
- 会社として担保すべき最低限の知識やスキルが、全社的に共有・習得されていない。

## 出力要求
この課題を解決し、新人教育の質を標準化・向上させるための「新人OJT標準化プロジェクト」の企画書を作成してください。企画書には、以下の要素を必ず含めてください。

1.  **プロジェクトの目的:** このプロジェクトで何を達成するのかを明確に定義する。
2.  **現状分析と課題の深掘り:** なぜこのような問題が起こるのか、その根本原因を3つの視点から分析する。
3.  **具体的な解決策（3つの柱）:**
    *   **①教育コンテンツの標準化:**
        *   全社共通の「新人必修スキルチェックリスト」の作成方法と項目例。
        *   部署ごとの「OJTマニュアル（指導計画書）」の作成テンプレートと盛り込むべき内容。
    *   **②指導者（OJTトレーナー）の育成:**
        *   OJTトレーナー向けの研修プログラムの概要（目的、内容、時間など）。
        *   指導者間の情報交換や悩みを共有する場の設定方法。
    *   **③進捗確認と評価の仕組み化:**
        *   新人、OJTトレーナー、上司が定期的に行う「三者面談」の進め方とアジェンダ例。
        *   新人の成長を可視化するための「育成計画シート」のフォーマット案。
4.  **導入スケジュール案:** プロジェクト開始から3ヶ月間の具体的なステップとタイムラインを提示する。
5.  **成功のためのポイント:** このプロジェクトを社内に浸透させ、成功させるために最も重要なことを3つ挙げる。

# 出力形式
- マークダウン形式で見出しを使い、構造的で分かりやすく記述してください。
- 提案する内容は、専門用語を避け、明日からでもすぐに議論を始められるような、具体的かつ実践的な言葉で表現してください。
」"
,55,「分からないことがあったら、いつでも聞いて」と指導担当は言うが、新人は忙しそうな先輩の姿を見て、遠慮して質問できない。,忙しそうな先輩の姿を見ると、新人が「今、質問してもいいだろうか」と遠慮してしまい、結果的に問題解決に時間がかかってしまう。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（遠慮して質問できない新人用） ▼▼▼

#役割
あなたは、新人の気持ちに寄り添いながら、具体的で実践的な解決策を提示できる、経験豊富なビジネスコーチです。

#背景
私は中小企業に配属された新入社員です。指導担当の先輩からは「分からないことがあったら、いつでも聞いて」と言われています。しかし、先輩はいつも忙しそうで、電話や打ち合わせで席を外していることも多く、話しかけるタイミングを逃してしまいます。「こんなことで時間を取らせては申し訳ない」と遠慮してしまい、結果的に質問できずに一人で抱え込み、仕事が滞ってしまうことがあります。このままでは成長できないと焦りを感じています。

#命令
この状況を乗り越え、先輩に上手に質問できるようになるための、明日からすぐに使える具体的なアクションプランを、以下の構成で、私に語りかけるように優しく、しかし論理的にアドバイスしてください。

#出力構成
1.  **考え方の転換：** なぜ「質問することは、むしろ先輩と会社のためになる」のか、3つの視点（「新人本人」「先輩」「会社」）から、私の心理的ハードルが下がるように解説してください。
2.  **質問の質を高める事前準備リスト：** 質問する前に、私が最低限やっておくべきことをチェックリスト形式で3〜5個挙げてください。これを準備することで、質問が簡潔になり、先輩の時間を奪わないという自信を持たせてください。
3.  **先輩の「OKサイン」を見極める3つのタイミング：** 先輩が比較的話しかけやすい状況や時間帯の具体例を3つ挙げ、その見極め方を教えてください。
4.  **そのまま使える「魔法の切り出しフレーズ」集：** 以下の状況別に、丁寧で好印象を与え、相手が「いいよ」と言いやすくなる質問の切り出し方を、それぞれ2つずつ、具体的なセリフで提示してください。
    *   **緊急ではないが、早めに確認したい時**
    *   **すぐに（1〜2分で）解決策が欲しい時**
    *   **席に戻ってきた先輩に声をかける時**
」"
,56,OJT担当者自身が、人を育てた経験がなく、どうやって教えればいいのか分からずに困っている。,OJT担当者自身が、人を育てるためのスキル（コーチングなど）を、業務時間内に学ぶ機会がない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（初めてのOJT担当者用） ▼▼▼

# あなたの役割
あなたは、中小企業の人材育成を数多く手掛けてきた、経験豊富なOJTコンサルタントです。特に、初めてOJT担当者になった人に対して、具体的で、すぐに実践できる指導を行うことを得意としています。

# 私の状況
私は中小企業に勤める社員で、この度初めてOJT担当者に任命されました。しかし、私自身はこれまで人を育てた経験が全くなく、後輩に何を、どのように、どの順番で教えれば良いのか全く分からず、大きな不安を感じています。

# お願いしたいこと
このような状況の私でも、明日から自信を持って後輩指導にあたれるように、具体的で実践的な「OJT完全マニュアル」を作成してください。

# 含めてほしい要素と出力形式のルール
*   **網羅的な内容:** 以下の項目をすべて含めて、OJTの全体像が掴めるようにしてください。
    *   **1. OJT計画の立て方:** いつまでに、どのレベルになってほしいかという目標設定の方法と、具体的な週間・月間スケジュールの作成ステップ。
    *   **2. 初日の関係構築:** 新人の不安を取り除き、信頼関係を築くための具体的な会話例やアイスブレイクのアイデア。
    *   **3. 効果的な「教え方」の4ステップ:** 専門用語を使わず、「①やって見せる(Show)」「②説明する(Tell)」「③やらせてみる(Do)」「④評価・追加指導(Check)」の各段階で、担当者が具体的に何をすべきか、どんな言葉をかけるべきかを分かりやすく説明してください。
    *   **4. 効果的な「褒め方」と「フィードバック」:** 新人のモチベーションを維持・向上させるための具体的な褒め方のフレーズ例と、改善点を伝える際に相手を傷つけない建設的なフィードバックの伝え方の例文。
    *   **5. 仕事の任せ方と進捗確認:** どこまで任せるかの判断基準と、「放置」だと思わせない適切な進捗確認の頻度や方法。
    *   **6. OJT担当者が陥りがちな失敗例とその対策:** 私が失敗しないための具体的なアドバイスを「失敗例」と「対策」のセットで3つ提示してください。

*   **分かりやすい形式:**
    *   箇条書きや表を積極的に使用し、視覚的に理解しやすい構成にしてください。
    *   精神論や抽象的な表現は避け、「誰が読んでも同じように行動できる」レベルまで具体的に記述してください。
    *   研修資料としてそのまま使えるような、体系的で分かりやすい文章でお願いします。
」"
,57,新人の成長度合いを客観的に測るための「スキルマップ」や「チェックリスト」がなく、指導担当者の主観で「できるようになった」と判断される。,新人の成長度合いを客観的に測る「スキルマップ」などを作成し、運用するという、時間のかかる仕組みを導入できていない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（新人の主観的評価用） ▼▼▼
あなたは、中小企業の人材育成を専門とする、経験豊富な人事コンサルタントです。

私の会社では、新人の成長を指導担当者の主観で判断しており、客観的な評価基準がありません。これにより、評価のばらつきや新人の目標設定の曖昧さが課題となっています。

この課題を解決するため、新人（総合職・事務職を想定）の成長度合いを客観的に可視化できる「スキルマップ」のテンプレートを、以下の条件で作成してください。

# 条件
- **目的:** 指導担当者と新人本人が、成長レベルを共通認識のもとで確認し、次の目標設定に使えること。
- **項目:** 社会人としての基礎スキル（ビジネスマナー、PCスキルなど）と、基本的な業務遂行スキルを網羅すること。
- **レベル定義:** 各スキル項目について、誰が見ても判断できるような具体的な行動ベースで「3段階の習熟度レベル」を定義すること。（例：Lv1: 指示があればできる, Lv2: 一人で完遂できる, Lv3: 応用・改善ができる）
- **形式:** 以下の項目を含むMarkdownのテーブル形式で出力すること。
  - スキル大項目
  - スキル小項目（具体的な行動）
  - 習熟度レベル（Lv1, Lv2, Lv3）の具体的な定義

中小企業でもすぐに導入できる、実用的で分かりやすい内容でお願いします。
」"
,58,指導担当者が、自分のやり方や価値観を一方的に押し付けてしまい、新人の個性や強みを潰してしまう。,指導担当者が、日々のプレッシャーの中で、自分のやり方を効率的に教えることを優先し、新人の個性に合わせて指導方法を変える余裕がない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（指導担当者が自分のやり方を押し付けてしまう状況用） ▼▼▼

#役割
あなたは、中小企業の人材育成と組織開発を専門とする、経験豊富な人事コンサルタントです。特に、OJTにおける指導担当者と新人の関係構築に深い知見を持ち、個人の強みを最大限に引き出す育成アプローチを得意としています。

#背景
私は中小企業で働く社員で、人材育成に関する研修を受けています。現在、私たちの組織では以下の様な状況が発生しており、その具体的な解決策を学ぶ必要があります。

**状況シナリオ:**
ある熱心な指導担当者が、新人を指導する際に、自身の成功体験や仕事の進め方、価値観を「唯一の正解」として一方的に押し付けてしまっています。その結果、新人が本来持っている個性、強み、そして新しい視点が発揮されず、ポテンシャルを潰してしまっているように見えます。新人は次第に萎縮し、主体的な行動が減り、指示待ちの状態になりつつあります。

#依頼
この状況を改善するために、以下の観点から、具体的ですぐに実践できるアクションプランを体系的に提案してください。

1.  **原因の深掘り分析:**
    *   なぜ、良かれと思って指導している担当者が、結果的に新人の個性や強みを潰してしまうのでしょうか？考えられる指導担当者側の心理的背景（例：不安、善意、成功体験への固執）と、組織側の構造的問題（例：育成文化の欠如、評価制度）を多角的に分析してください。
    *   この問題を放置した場合、新人、指導担当者、そして組織全体にそれぞれどのような短期的・長期的なリスクが生じるか、具体的にリストアップしてください。

2.  **関係者別・具体的な解決アプローチ:**
    *   **【指導担当者本人への働きかけ】**: 指導担当者のプライドを傷つけず、自らの指導スタイルを客観的に振り返ってもらうための「効果的な質問」と「伝え方」の具体例を複数提示してください。「ティーチング」から「コーチング」や「フィードフォワード」へ視点を転換させるための、効果的なアプローチを教えてください。
    *   **【新人へのサポート】**: 萎縮してしまった新人が、安心して自分の意見を表現し、主体性を取り戻すために、周囲（上司や人事）はどのようなサポートができますか？具体的な関わり方や、1on1ミーティングで使える声かけの例を挙げてください。
    *   **【組織としての仕組みづくり】**: このような「指導の属人化」や「価値観の押し付け」を防ぐために、組織として導入すべき仕組みや制度、文化醸成のアイデアを提案してください。（例：指導者向け研修プログラムの内容、メンター制度の再設計、失敗を許容する文化の作り方など）

3.  **実践的ロールプレイングシナリオ:**
    指導担当者の上司が、その指導担当者と1on1ミーティングを行うという設定で、指導方法の改善を促すためのリアルな会話シミュレーションを作成してください。以下の流れと目的を必ず含めてください。
    *   **目的:** 指導担当者の熱意と貢献に感謝を伝えつつ、新人の多様な強みを引き出すアプローチの重要性に気づかせ、自発的な行動変容を促す。
    *   **会話の流れ:**
        1.  ポジティブな導入（日頃の感謝と労い）
        2.  現状の共有と本人の認識のヒアリング（「〇〇さん（新人）の様子、最近どう？」）
        3.  指導者の意図や考えへの共感と承認（「熱心に指導してくれて本当に助かるよ」）
        4.  新しい視点の提供（「君のやり方は素晴らしいけど、もし違うやり方で更に大きな成果を出せる新人がいたら、どう育てる？」）
        5.  具体的な行動変容をサポートする提案と合意形成（「一緒に新人の強みリストを作ってみないか？」）

#出力形式
*   各項目（1, 2, 3）を明確に見出しで分けてください。
*   箇条書きや表を効果的に使用し、研修受講者が要点を整理しやすく、行動に移しやすいように構成してください。
*   専門用語は避け、現場ですぐに使える平易な言葉で解説してください。
」"
,59,質問したことには答えるが、指導担当者から積極的に「困っていることはないか？」と働きかけることがない。,質問を待つだけでなく、指導担当者から積極的に働きかけるには、通常業務に加えて、新人の様子を観察する時間が必要だが、その余裕がない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（受け身な指導担当者への対応用） ▼▼▼

#役割
あなたは、数多くの新入社員や若手社員を育成してきた、経験豊富なビジネスコーチ兼コミュニケーションコンサルタントです。特に、部下や後輩が主体的に動けるよう促し、円滑な人間関係を築くための、具体的で実践的なアドバイスに定評があります。

#背景
私は中小企業で働く若手社員です。現在の指導担当者は、非常に優秀で尊敬できる方です。私がした質問には的確に答えてくれます。
しかし、指導担当者から自発的に「何か困っていることはないか？」「順調に進んでいるか？」といった働きかけをされることはほとんどありません。おそらく、ご自身の業務で非常に多忙なのだと思います。

#悩み
この状況により、私には以下のような悩みや不安が生じています。
*   「今、話しかけても大丈夫だろうか？」と、質問や相談をするタイミングを過度に伺ってしまい、結局聞けずじまいになることがある。
*   「こんな些細なことを聞いて、時間を奪うのは申し訳ない」と感じ、自分で解決しようとして時間を浪費したり、間違った方向に進んでしまったりすることがある。
*   自分の業務の進捗や方向性が正しいのか、定期的なフィードバックを得られず、常に少し不安を抱えながら仕事をしている。
*   コミュニケーションの機会が少ないため、指導担当者との心理的な距離を感じてしまい、より一層声をかけにくくなるという悪循環に陥りかけている。

#依頼事項
上記の背景と悩みを解決するため、私がこの状況をポジティブに捉え、受け身な指導担当者と良好な関係を築きながら、主体的に業務を進めていくための、明日からすぐに実践できる**具体的で詳細なアクションプラン**を提案してください。

#出力形式
以下の構成で、ステップ・バイ・ステップで分かりやすく説明してください。

1.  **マインドセットの転換:**
    *   この状況を成長の機会と捉えるための考え方。
    *   「質問＝無能」ではなく「質問＝意欲」と相手に認識させるための心構え。

2.  **具体的な準備と行動:**
    *   **質問・相談リストの作成:** 質問を溜め込まず、効率的に解決するための具体的なリスト作成方法。
    *   **タイミングの見極め方:** 指導担当者が比較的、話を聞いてくれやすい時間帯や状況の具体例。
    *   **相談時間を確保するためのアポイントの取り方:** 相手に負担を感じさせない、スマートな依頼方法（チャットや口頭での具体的なセリフ例を複数提示）。例えば、「5分だけよろしいでしょうか？」という聞き方など。

3.  **効果的なコミュニケーション術（フレーズ集付き）:**
    *   **聞き方の工夫:** 相手が答えやすい質問の仕方。「（自分の考え）で進めようと思いますが、ご意見いただけますか？」といった、Yes/Noだけでなく具体的なアドバイスを引き出すための聞き方のテンプレートを複数提示。
    *   **報連相の仕組み化:** こちらから定期的な短い報告会（例：週に一度、15分間の進捗確認ミーティング）を提案するための、丁寧な依頼文（メールやチャットでそのまま使えるテンプレートを提示）。
    *   **感謝の伝え方:** 教えてもらった後に感謝を伝えることで、次の質問をしやすくするための具体的なフレーズ。

」"
,60,新人がミスをした際に、その原因を一緒に考えるのではなく、感情的に叱責するだけで終わってしまう。,新人がミスをした際に、指導担当者が感情的になってしまうのは、根本的に、育成に十分な時間が与えられていないストレスが一因である。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（新人のミスへの指導方法改善用） ▼▼▼
#役割
あなたは、中小企業の人材育成を専門とする、経験豊富な組織開発コンサルタントです。特に、若手社員の指導における心理的安全性の構築と、建設的なフィードバックの技術に深い知見を持っています。

#背景と課題
私は中小企業で働く先輩社員（または管理職）です。部下である新人が業務でミスをした際、その原因を冷静に分析したり、本人に考えさせたりするプロセスを飛ばして、つい感情的に「なぜできないんだ」「もっと注意しろ」と叱責するだけで終わってしまいます。
この指導方法では、新人が萎縮してしまい、ミスの報告自体を恐れるようになったり、成長意欲を失ったりするのではないかと強く懸念しています。根本的な原因解決にもならず、同じミスが繰り返される悪循環に陥っています。

#依頼
このような状況を打開し、新人の成長を促すための「建設的な指導」ができるようになるための、具体的かつ実践的なアクションプランを提案してください。私が明日からすぐに実践できるよう、具体的な会話例を交えながら、分かりやすく体系的に説明してください。

#出力形式
以下の構成で、具体的なアドバイスを出力してください。

1.  **マインドセットの転換**
    *   指導の目的を「叱責」から「成長支援」へと切り替えるために、意識すべき最も重要な心構えを一つ挙げてください。

2.  **感情的にならないための応急処置テクニック**
    *   新人のミスを知り、「カッとなって」しまいそうな瞬間に、冷静さを取り戻すための即効性のある具体的な行動を3つ提案してください。

3.  **ミスの原因を一緒に考えるための「GROWモデル」応用会話術**
    *   以下の4つのステップに沿って、新人との対話を進めるための具体的な質問例を、それぞれ3つ以上挙げてください。
        *   **G (Goal):** あるべき姿の確認（例：「この業務で目指していたゴールは何だったかな？」）
        *   **R (Reality):** 現状と事実の確認（例：「まず、何が起きたのかを客観的に教えてくれる？」）
        *   **O (Options):** 原因と対策の選択肢の洗い出し（例：「どうすればこのミスは防げたと思う？思いつくことを全部挙げてみて。」）
        *   **W (Will):** 今後の行動計画（例：「じゃあ、次に同じ業務をするとき、具体的に何から始める？」）

4.  **会話シミュレーション（悪い例 vs 良い例）**
    *   **シナリオ:** 新人が取引先に送る見積書の金額を1桁間違えて作成してしまった。
    *   **悪い例:** 感情的に叱責するだけの会話例。
    *   **良い例:** 上記の「GROWモデル応用会話術」に基づいた、新人の自律的な気づきと成長を促す理想的な会話例。

5.  **指導後のフォロー**
    *   対話が終わった後、新人の心理的負担を軽減し、前向きな行動を後押しするためにできる効果的な声かけを2つ提案してください。
」"
