カテゴリ,番号,,想定シーン,プロンプト本文
,67,意思決定会議で、データに基づいた冷静な議論よりも、声の大きさや勢いで意見が通ってしまう。,意思決定会議で、声の大きさや勢いで意見が通りそうになっても、データで冷静に反論するための事前準備の時間が足りない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（意思決定会議で声の大きい人の意見が通る用） ▼▼▼
# 役割
あなたは、数々の中小企業の組織課題を解決してきた、経験豊富なビジネスコンサルタント兼ファシリテーターです。特に、感情論や声の大きさで結論が決まってしまう会議を、データと論理に基づいた建設的な議論の場に変えることを極めて得意としています。

# 私が直面している状況
私は中小企業に勤務しており、社内の重要な意思決定会議で以下の問題に直面しています。
- **問題点:** 特定の人物（役職者や声の大きい人）が、強い口調や勢いで主観的な意見を主張すると、その場の空気が支配され、その意見が採用される傾向が非常に強いです。
- **課題:** データや客観的な事実に基づいた冷静な意見を出しても、「勢い」に負けてしまい、議論が深まりません。結果として、会社にとって最適とは言えない意思決定がなされていると感じます。
- **結果:** 他の参加者は萎縮してしまい、多様な意見が出なくなり、会議全体の生産性とチームの士気が著しく低下しています。

# 命令
この状況を打開し、健全な意思決定ができる会議文化を作るために、私が明日からすぐに実践できる、具体的かつ効果的なアクションプランを提案してください。提案は、以下の構成で、ステップ・バイ・ステップで詳細に記述してください。

1.  **【会議前の準備】 周到な仕込みで勝負の8割を決める戦略**
    *   議論の土台となる客観的データの効果的な準備・提示方法。
    *   会議のアジェンダ（議題）設定で、論点を明確にし、感情論を排除するための工夫。
    *   影響力のあるキーパーソンへの、効果的な事前の根回し術。

2.  **【会議中の振る舞い】 空気を変える具体的な発言術と立ち回り**
    *   相手の意見を尊重しつつ、議論を「事実（ファクト）」ベースに引き戻すための「魔法のクッション言葉」と質問例を5つ以上挙げてください。（例：「〇〇さん、非常にパワフルなご意見ありがとうございます。そのご意見をサポートする具体的なデータや事例があれば、ぜひ共有いただけますでしょうか？」）
    *   議論が感情的・抽象的になった際に、冷静かつ論理的な方向へ軌道修正するための介入テクニック。
    *   自分の意見を、自信を持って、かつ角を立てずに伝えるための話し方のフレームワーク（例：PREP法など）の具体的な活用例。
    *   ホワイトボードや議事録を戦略的に活用し、議論を可視化・構造化する方法。

3.  **【会議後のフォロー】 次につなげるための必須アクション**
    *   決定事項だけでなく「議論のプロセス」や「採用されなかった意見の根拠」も記録した議事録を作成し、共有するメリットと、その具体的な書き方。
    *   次の会議に向けて、今回の反省をチーム全体で建設的に活かすための働きかけ。

# 出力形式のルール
- 各項目は箇条書きを用いて、具体的で分かりやすく説明してください。
- 専門用語は避け、誰が読んでもすぐに理解・実践できる平易な言葉で記述してください。
- あなた自身の意見や解説は含めず、上記のアクションプランの提案のみを出力してください。
」"
"E. 報告と活用の形骸化 編

（分析結果が報告だけで終わり、具体的な「次の一手」や経営戦略に繋がらない状況）",68,頑張って作った調査レポートが、分厚すぎて要点が分からず、結局誰にも最後まで読んでもらえない。,頑張って作った調査レポートも、多忙な役員が短時間で要点を理解できるよう、サマリーや図解を工夫する時間が足りない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（分厚い調査レポートが読まれない用） ▼▼▼
あなたは、多忙な経営層に対して、複雑な情報を簡潔かつ分かりやすく伝えることに長けた、超一流のビジネスコンサルタントです。

# 命令
以下の【調査レポート全文】を分析し、読む時間がない上司や関係者が「たった3分」で全体像と重要なポイントを把握し、次のアクションを判断できるような「戦略サマリー」を作成してください。

# 出力形式
*   専門用語は避け、誰にでも理解できる平易な言葉で記述してください。
*   以下の構成に厳密に従ってください。

---
### 【戦略サマリー】

**1. エグゼクティブサマリー（300字以内）**
*   このレポートから導き出される「結論」と、会社が取るべき「最も重要なアクション」を冒頭で簡潔に示してください。

**2. 重要なインサイト TOP3**
*   今回の調査結果から得られた、意思決定に最も影響を与える重要な発見を3つに絞り、箇条書きで具体的に説明してください。
    1.  （インサイト1）
    2.  （インサイト2）
    3.  （インサイト3）

**3. 推奨されるネクストアクション**
*   上記のインサイトに基づき、「誰が」「何を」「いつまでに」行うべきか、具体的かつ実行可能なアクションプランを提案してください。

**4. このレポートを一枚の図で表現するなら？**
*   レポートの要点を一枚の図やチャートで視覚的に伝えるためのアイデアを提案してください。（例：マトリクス図、フローチャート、比較グラフなど、具体的な図の種類と、各軸や項目に何を入れるべきかを記述）
---

# 調査レポート全文
[ここに、あなたの作成した調査レポートの全文を貼り付けてください]
」"
,69,レポートの結論が、常に「引き続き市場動向を注視していく必要があります」といった、当たり障りのない言葉で締めくくられている。,レポートの結論が、深く考察する時間がないために、当たり障りのない一般的な言葉で締めくくられ、具体的なアクションに繋がらない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（当たり障りのないレポート結論の改善用） ▼▼▼
#役割
あなたは、中小企業の経営課題に精通した優秀な経営コンサルタントです。単に文章を整えるだけでなく、データに基づいた鋭い洞察と、次のアクションに直結する具体的な提言を行うことを使命としています。

#目的
私が作成したビジネスレポートの結論部分を、ありきたりで抽象的な表現から、読み手（特に経営層）の意思決定を力強く後押しする、示唆に富んだ具体的な提言へと昇華させることです。

#指示
以下の【レポートの情報】を分析し、結論の改善案を3つ、それぞれ異なる切り口で提案してください。

【レポートの情報】
・レポートの目的：
・レポートの読者（想定）：
・レポートで明らかになった主要な事実やデータ（3～5点に要約）：
・私が書いた当たり障りのない結論案：

#提案の切り口
1.  **「攻めの提言」:** 分析結果から最も有力なビジネスチャンスを特定し、その機会を最大化するための具体的なアクションプランを強く推奨する結論。
2.  **「守りの提言」:** 分析結果から予見される最大のリスクや脅威を明確にし、その影響を最小限に抑えるための具体的な対策や代替案を提示する結論。
3.  **「次の一手を探る提言」:** 今回の分析だけでは判断できない重要な論点を正直に認め、その不確実性を解消するために次に行うべき具体的な調査や検証ステップを提案する結論。

#出力の制約条件
・それぞれの提言が、なぜその結論に至るのか、【レポートの情報】の中のどの事実やデータに基づいているのかを明確に示してください。
・専門用語を避け、中小企業の経営者が直感的に理解し、すぐに行動をイメージできる言葉で記述してください。
」"
,70,報告会で経営陣から「面白い分析だね、ご苦労様」と褒められるが、それだけで終わり、具体的な指示や次のアクションには繋がらない。,報告会で経営陣から「面白い分析だね」と評価されても、それを次の具体的な指示や予算に繋げるための、追加の議論の時間が取れない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（経営陣から「面白い」で終わってしまう報告会改善用） ▼▼▼
あなたは、中小企業の経営課題に精通した、非常に優秀な経営コンサルタントです。私の以下の状況を深く理解し、具体的で実践的なアドバイスをしてください。

# 私が抱える課題
私は中小企業に勤務しており、先日、経営陣に向けてデータ分析の報告会を行いました。
報告後、経営陣からは「面白い分析だね、ご苦労様」と労いの言葉はもらえましたが、具体的なフィードバックや指示はなく、議論も深まらずに報告会が終わってしまいました。
せっかくの分析を具体的なビジネスアクションに繋げられず、非常にもどかしく感じています。

# あなたへの依頼
この「褒められて終わる」状況を打開し、次回の報告会から経営陣を巻き込み、具体的な意思決定や次のアクションを引き出すための、戦略的で実践的なアクションプランを提案してください。

# 提案に含めてほしい要素
以下の観点から、明日からすぐに使えるレベルまで具体化して、体系的にアドバイスをしてください。

### 1. 根本原因の分析
*   なぜ私の報告が「面白い」だけで終わり、次のアクションに繋がらないのか。考えられる根本的な原因を多角的に分析してください。（例：報告内容の構成、伝え方、経営陣の期待とのズレなど）

### 2. 次回に向けた具体的なアクションプラン
*   **【報告資料の改善策】**
    *   分析結果を「だから、どうするべきか（So What?）」という具体的な提言に繋げるための、効果的な資料構成のテンプレート。
    *   経営陣が意思決定をしやすくなるような、選択肢（A案、B案など）の提示方法と、それぞれのメリット・デメリットの整理の仕方。
    *   単なるデータ提示ではなく、意思決定を促す「問い」を資料に盛り込む具体的な方法。

*   **【報告当日のコミュニケーション術】**
    *   報告会の冒頭で、議論のゴール（＝この場で決めてほしいこと）を明確に設定し、参加者と共有するための効果的な言い回しの具体例を3つ挙げてください。
    *   報告の最後に、経営陣から具体的な指示やネクストステップを引き出すための、効果的な質問や投げかけの具体例を3つ挙げてください。
    *   もし今回のように「面白いね」で終わりそうになった際に、議論を深めるための切り返しトークの具体例を3つ挙げてください。

# 私の報告に関する補足情報（この部分を書き換えて使用してください）
*   **報告のテーマ:** （例：新規顧客の獲得チャネル分析）
*   **分析内容の概要:** （例：広告Aと広告Bの効果を比較し、広告Bの方がCPAが低いことを突き止めた）
*   **自分が報告で本当に伝えたかったこと（提言）:** （例：今後は広告Bに予算を集中させるべきだ）
」"
,71,調査レポートが、会議の場で一度共有されたきり、書庫やファイルサーバーの奥深くに眠ってしまう。,会議で一度共有された調査レポートが、その後、誰でもアクセスできる場所に保管・整理されるプロセスがなく、情報が属人化してしまう。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（調査レポートが活用されない問題の解決用） ▼▼▼

#役割
あなたは、中小企業のナレッジマネジメントと組織活性化を専門とする、経験豊富な経営コンサルタントです。

#背景
私が所属する中小企業では、時間とコストをかけて作成した調査レポートが、会議で一度共有されただけで、その後はほとんど活用されずにファイルサーバーの奥で眠ってしまっている、という深刻な問題があります。レポートには貴重な情報や洞察が含まれているにもかかわらず、それが個人の業務改善や組織全体の意思決定に活かされていません。

#命令
この問題を解決し、調査レポートを「組織の共有資産」として最大限に活用するための、具体的かつ実行可能なアクションプランを、以下のステップに従って網羅的かつ構造的に提案してください。

### ステップ1: 原因の深掘り分析
この問題が発生する根本的な原因を、「レポート作成者」「レポート閲覧者（社員）」「組織・文化」「ツール・仕組み」の4つの視点から多角的に分析し、考えられる要因をそれぞれ具体的にリストアップしてください。

### ステップ2: 解決策の提案
分析した原因に基づき、「短期（すぐに着手可能）」「中期（3ヶ月〜半年）」「長期（1年〜）」の3つの時間軸で、具体的かつ実践的な解決策を提案してください。特に、中小企業の限られたリソース（人員、予算、時間）でも実行可能なアイデアを重視してください。

### ステップ3: レポート活用のための具体的フォーマット提案
レポートの要点を誰もが短時間で理解し、行動に移せるようにするための「サマリーシート（A4一枚）」のテンプレートを、具体的な項目立てで提案してください。このシートには、「調査の背景と目的」「主要な発見（3点）」「考察」「推奨されるアクション（誰が、何を、いつまでに）」といった要素を必ず含めてください。

### ステップ4: 実行計画の策定
提案した解決策を社内に導入していくための、最初の1ヶ月で取り組むべき具体的なアクションプランを、週単位（1週目〜4週目）で示してください。担当部署や担当者の例も挙げて、誰が何をすべきか明確にしてください。

#制約条件
- 専門用語は避け、ビジネスの現場で働く誰もが理解できる平易な言葉で説明してください。
- 単なる精神論ではなく、明日からでも行動に移せるような具体的な手法やツール（無料または低コストで利用できるものも含む）を盛り込んでください。
」"
,72,分析結果を、ただ事実の羅列として報告するだけで、「だから、我々は何をすべきか」という具体的な提言が含まれていない。,分析結果の事実を羅列するだけで手一杯で、そこから「だから、我々は何をすべきか」という具体的な提言まで落とし込む時間がない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（事実の羅列で提言がない報告用） ▼▼▼
# 命令書

あなたは、中小企業の経営課題解決を専門とする、非常に優秀な経営コンサルタントです。
以下の【分析結果の報告】は、事実が羅列されているだけで、ビジネス上の「示唆」や「具体的な提言」が欠落している不完全なものです。

この報告内容をプロの視点で深く分析し、ビジネスの意思決定に繋がるように、「空・雨・傘」のフレームワークを用いて、以下の形式で再構成してください。

---

### 前提情報
*   **私たちの会社:** [ここにあなたの会社の事業内容や状況を簡潔に記述]
*   **分析の目的:** [ここにこの分析を行った目的を記述]

### 【分析結果の報告】
[ここに、事実の羅列となっている報告内容を貼り付けてください]

---

### 出力形式

**1. 【空：事実の再整理】**
*   報告内容の要点を、客観的な事実として箇条書きで簡潔に整理してください。

**2. 【雨：解釈・示唆（So What?）】**
*   上記の事実から、「つまり、どういうことが言えるのか？」「何を意味するのか？」というビジネス上の示唆を、複数、具体的かつ鋭く指摘してください。

**3. 【傘：具体的な提言（Now What?）】**
*   導き出された示唆に基づき、私たちが「次に何をすべきか」という具体的なアクションプランを、優先度順に3つ提案してください。
*   各提案について、その「目的」「具体的なアクション」「期待される効果」「想定されるリスク」を明確に記述してください。

### 制約条件
*   中小企業というリソースが限られた状況でも実行可能な、現実的で地に足の着いた提案にしてください。
*   専門用語は避け、誰にでも理解できる平易な言葉で説明してください。
」"
,73,報告の相手（社長、営業部長など）に合わせて、レポートの要点や見せ方を変えるという工夫をしていない。,報告の相手の役職や関心事に合わせ、レポートの見せ方をカスタマイズするという、丁寧な準備に時間をかけられていない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（報告相手に合わせたレポート作成用） ▼▼▼
あなたは、相手の立場や関心事を瞬時に見抜き、コミュニケーションを最適化するプロフェッショナルなビジネスコンサルタントです。

これから私が提示する報告内容を、複数の異なる報告相手に合わせて、それぞれ最適なレポートに書き換える手助けをしてください。
目的は、報告相手の貴重な時間を奪うことなく、内容を的確に伝え、迅速な意思決定を促すことです。

以下の指示に従って、最高のレポート案を2パターン作成してください。

# 前提条件

## 報告したい内容の元情報
【ここに、箇条書きで報告したい事実やデータを具体的に記入してください】
例：
・主要プロジェクトAの進捗率は計画通り80%。
・プロジェクトBで顧客から仕様変更の要望があり、対応に5人日の追加工数が見込まれる。コストへの影響は軽微だが、納期が3日遅れるリスクあり。
・プロジェクトCは今週末に無事納品完了予定。
・チームメンバーの山田さんが来週1週間の休暇を取得。業務の引き継ぎは完了済み。
・競合のX社が、我々の主力商品と類似した新サービスYを低価格で発表した。

## 報告相手の情報
以下の2名の報告相手を想定してください。

### 報告相手1：社長
- **立場・関心事：** 全社の経営判断、中長期的な戦略、事業全体の損益、重要なリスクと機会に関心がある。多忙であり、詳細な業務プロセスよりも結論と経営への影響を重視する。

### 報告相手2：直属の部長
- **立場・関心事：** 担当部署の目標達成、各プロジェクトの具体的な進捗、メンバーの管理と育成、現場レベルでの問題解決に関心がある。詳細な状況を把握し、具体的な指示やサポートを行う必要がある。

# 命令
上記の【報告したい内容の元情報】を基に、【報告相手1：社長】と【報告相手2：直属の部長】のそれぞれに向けて、最適なレポートを作成してください。
レポートには以下の要素を含めてください。

1.  **件名：** 内容が一目でわかる件名
2.  **要約（3点以内）：** 相手が最も知りたいであろう結論をまとめたもの
3.  **報告内容の構成案：** 相手の関心事に沿った、説得力のある情報の並び順
4.  **このレポートが最適な理由：** なぜその構成や表現が、その相手にとって効果的なのかについての解説

# 出力形式
以下の形式で、2つのレポート案を並べて出力してください。

---
## 【報告相手1：社長】向けレポート案

### 1. 件名：
（ここに件名を記入）

### 2. 要約：
1.
2.
3.

### 3. 報告内容の構成案：
（相手の関心事に沿った構成案を箇条書きで記入）

### 4. このレポートが最適な理由：
（理由を記入）

---
## 【報告相手2：直属の部長】向けレポート案

### 1. 件名：
（ここに件名を記入）

### 2. 要約：
1.
2.
3.

### 3. 報告内容の構成案：
（相手の関心事に沿った構成案を箇条書きで記入）

### 4. このレポートが最適な理由：
（理由を記入）
---
」"
,74,報告会で出た質問や指摘事項を、次の分析やアクションに活かさず、やりっぱなしになっている。,報告会で出た質問や指摘事項を、その場でメモはするものの、次の分析やアクションプランに反映させるという、腰を据えた作業ができていない。,"#### ▼▼▼ Geminiへのコピペ用プロピト（（報告会の質疑応答の放置）用） ▼▼▼

「
\#役割設定
あなたは、NASAのミッションコントロールセンターで、打ち上げ後の予期せぬトラブルや軌道修正の議論を、その場で具体的な次のアクションプランへと決定してきた、伝説のフライトディレクターです。あなたの哲学は「議論は、行動のためにある。行動なき議論は、ただの雑談だ」。会議で出た貴重な意見や疑問を、決して""言いっぱなし"" ""聞きっぱなし""にせず、その場で「誰が」「いつまでに」「何をやるか」を明確に決定し、確実に実行させるプロセス設計の達人です。

\#背景
私は、【あなたの会社名】で、【この状況を改善したい、あなたの名前】です。
【あなたが参加している報告会（例：〇〇プロジェクト月次報告会）】では、毎回、活発な質疑応答が行われ、経営層や関係部署から鋭い指摘や貴重なアドバイスが出ます。
しかし、会議が終わると、それらの議論は忘れ去られ、誰一人として、出た質問や指摘事項を次のアクションに繋げようとしません。日々の業務に追われる中で、会議での議論を整理し、具体的なタスクに落とし込むための時間も仕組みもないまま、「やりっぱなし」の状態が続いています。

\#実行タスク
この「言っただけ、聞いただけで終わる」という、最も非生産的な会議文化を根絶するため、私がチームに提案し、次の報告会からすぐに導入できる、新しい「会議フォーマット」と、その中核となる「ツール」を考案してください。

-----

**【資料1】""言いっぱなし""撲滅！質疑応答を「アクション」に変える、新・報告会フォーマット**

**企画名:** 質疑応答こそが本番！「課題発見＆アクション決定」型・報告会フォーマットのご提案

**1. 提案する【会議の新定義】**

  * この会議の目的は、**報告すること自体ではない**。
  * 報告はあくまで\*\*「議論の""たたき台""」**であり、質疑応答を通じて**「課題を発見」**し、その場で**「次のアクションを決定する」**ことこそが、この会議の**唯一の存在意義\*\*である。

**2. 導入する【鉄のルール】**

  * **ルール①：全ての質疑応答は、必ず「具体的なアクション」に繋げて終了する。** （後述の「アクション決定シート」に記録）
  * **ルール②：会議の最後は、決定したアクションの「担当者」と「期限」を全員で確認して終わる。**
  * **ルール③：次回の会議の冒頭では、前回決定したアクションの「完了報告」から始める。**

**3. なぜ、この改革が必要か？**

  * 貴重な質疑応答の内容が、記憶から消える前に、具体的なタスクとして記録・管理される。
  * 「誰がやるか曖昧」なタスクがなくなり、責任の所在が明確になる。
  * 会議が、単なる儀式ではなく、プロジェクトを前に進めるための、活きたエンジンとなる。

-----

**【資料2】会議の中核ツール：質疑応答を「ToDo」に変える、アクション決定シート**

**目的:**
会議中の質疑応答の流れを止めずに、その場で「決定事項」「担当者」「期限」をリアルタイムで記録・合意形成するための、シンプルな議事録兼タスク管理ツール。（※書記担当が、会議中にプロジェクター等で表示しながら記入していくことを想定）

| 発見された課題 / 提起された疑問 | 議論の結果、決定した「次のアクション」 | 担当者 | 期限 |
| :--- | :--- | :--- | :--- |
| **（例）**<br>Q: 〇〇機能のユーザー離脱率が高い原因は？ | **A:** 来週中に、離脱ユーザー5名に緊急ヒアリングを実施し、原因を特定する。 | 佐藤 | 10/31 |
| Q: | A: | | |
| Q: | A: | | |

-----

**\#追加の依頼**
この新しい会議フォーマットの導入を、【この報告会に参加しているメンバーや主催者】に提案するにあたり、彼らが「またルールが増えて、窮屈になる…」と感じないよう、**「これは、我々の貴重な時間を無駄にしないための、むしろ会議をより効率的で、達成感のあるものにするための改善なのだ」ということが伝わる、ファシリテーターとしての力強いオープニングトーク**を教えてください。
」"
,75,競合の脅威を煽るだけ煽って、具体的な対策案を示さないため、聞いている側が「で、どうしろと？」と不安になる。,競合の脅威を分析しても、具体的な対策案を練るには、複数の部署との調整が必要で、そのための時間を確保できない。,"#### ▼▼▼ Geminiへのコピペ用プロンプト（（脅威分析後の対策不足）用） ▼▼▼

「
\#役割設定
あなたは、軍事戦略における「脅威評価（Threat Assessment）」と「対抗策立案（Course of Action Development）」の両方に精通した、リスクマネジメントの専門家です。あなたの哲学は「脅威を特定するだけでは、兵士は動けない。具体的な""作戦計画""があって初めて、脅威は克服できる」。分析で終わらず、具体的なアクションプランに落とし込む、高速な意思決定プロセスを設計する達人です。

\#背景
私は、【あなたの会社名】で、【この状況を改善したい、あなたの名前】です。
弊社の戦略会議では、【競合の脅威に関する詳細な分析結果】が共有されることはあります。しかし、分析担当者はその報告だけで手一杯で、具体的な対策案まで検討・提示する時間が不足しています。日々の業務に追われる中で、脅威分析という時間のかかる作業を終えた時点で、力尽きてしまうのです。
その結果、会議の参加者は【「すごい脅威だということは分かったが、我々はどうすればいいんだ？」と不安になっている、経営層や現場メンバー】のように、脅威だけを聞かされて具体的なアクションが分からず、不安だけが募るという状況に陥っています。

\#実行タスク
この「分析⇒不安」という悪循環を、「分析⇒アクション」へと転換するため、私がチームに提案し、次の戦略会議からすぐに導入できる、新しい「会議フォーマット」と、その中核となる「思考ツール」を考案してください。

-----

**【資料1】""脅威""を""機会""に変える！「分析⇒アクション」高速転換ワークショップ企画書**

**企画名:** 脅威分析の""次""へ！「対抗策（COA）」立案ワークショップ

**1. ワークショップの目的:**

  * 競合の脅威に関する分析報告の時間を、**会議全体の半分以下に**制限する。（詳細な分析内容は、事前資料として共有する）
  * 残りの全ての時間を、\*\*「で、我々はどうする？」\*\*という、具体的な対策案のブレインストーミングと、最初の一手の決定に集中させること。これにより、分析担当者の「対策案まで考える時間がない」という負担を軽減し、チーム全体で解決策を生み出す。

**2. ゴール:**

  * ワークショップ終了時に、分析された脅威に対する、**具体的な対抗策の選択肢**が複数（最低3つ以上）洗い出されている。
  * その中から、\*\*明日からでも実行できる「最初の一手（First Move）」\*\*が、担当者と期限付きで決定している。

**3. アジェンダ（案）**

  * **(1) 脅威ブリーフィング（15分）** - 分析担当者による、脅威に関する""要点のみ""の報告（※詳細は事前配布資料で）
  * **(2) グループワーク：「対抗策」発想タイム（30分）** - 後述の「脅威 vs 強み」マトリクスを使い、アイデアを量産する
  * **(3) 戦略決定：我々の「最初の一手」は何か？（15分）** - 最も効果的で、すぐ実行できるアクションを1つ選ぶ

-----

**【資料2】会議で使う思考ツール：「脅威 vs 我々の強み」対抗策（COA）発想マトリクス**

**目的:**
競合の「脅威」という外部要因に対して、我々の「強み」という内部要因を掛け合わせることで、具体的な対抗策のアイデアを強制的に生み出すためのツール。

**【分析された脅威】:** （例）競合A社が、低価格な新製品を投入してきた

| 我々の強み | **×** | **【競合の脅威】**<br>（例）競合A社の低価格攻勢 | **＝** | **我々の対抗策（アイデア）** |
| :--- | :- | :--- | :- | :--- |
| **（例）技術力** | **×** | 低価格攻勢 | **＝** | ・価格では勝負せず、圧倒的な技術優位性をアピールする新メッセージを開発する。<br>・低価格帯向けに、機能を絞った廉価版を開発する。 |
| **（例）顧客との信頼関係** | **×** | 低価格攻勢 | **＝** | ・既存顧客に対し、「価格だけではない、我々を選ぶ理由」を再確認するキャンペーンを実施する。<br>・顧客の声を基に、競合にはない付加価値サービスを開発する。 |
| **（例）小回りの良さ** | **×** | 低価格攻勢 | **＝** | ・競合が対応できないニッチな顧客セグメントに特化した、カスタマイズ製品を提供する。<br>・短期的なゲリラキャンペーンで、競合の意表を突く。 |

-----

**\#追加の依頼**
この新しいワークショップ形式を、これまでの報告会を主導してきた【分析担当者や上司】に提案するにあたり、彼らが「自分の報告時間が削られる」とネガティブに捉えず、**「これは、自分の分析が、具体的なアクションに繋がり、会社に貢献する瞬間を目の当たりにできる、よりエキサイティングな場になるのだ」と前向きに受け入れてくれるような、ファシリテーターとしての巧みな提案トーク**を教えてください。
」"
,76,調査・分析を行う部署と、実際に戦略を実行する事業部との間に壁があり、情報がスムーズに連携されない。,調査・分析を行う部署と、戦略を実行する事業部との間で、定期的に情報連携や議論を行う、公式な会議の時間が設けられていない。,"#### ▼▼▼ Geminiへのコピペ用プロンプト（（分析部署と事業部の連携不足）用） ▼▼▼

「
\#役割設定
あなたは、大企業の中で、研究開発部門（R\&D）と事業開発部門（BizDev）といった、異なる文化を持つ組織間の「壁」を取り払い、革新的なアイデアをスムーズに市場へと送り出すための「ブリッジ・パーソン（橋渡し役）」として活躍してきた、組織変革コンサルタントです。あなたの専門は、専門用語が飛び交う分析レポートを、現場が行動に移せる「作戦指示書」へと翻訳し、両部門が同じゴールを目指すための「共通言語」と「協働プロセス」を設計することです。

\#背景
私は、【あなたの会社名】で、【この状況を改善したい、あなたの名前】です。
弊社には、市場調査やデータ分析を専門に行う【分析担当部署名】と、その分析結果を基に戦略を実行する【戦略を実行する事業部門名】がありますが、両者の間には深い溝があります。
分析部署は、時間をかけて詳細なレポートを作成しますが、専門的すぎて事業部には難解です。一方、事業部は日々の目標達成に追われており、分厚いレポートを読み解き、具体的なアクションに落とし込む時間がありません。結果として、せっかくの分析結果が活用されず、「分析のための分析」で終わってしまっています。

\#実行タスク
この「知識の孤立」と「行動の停滞」を解消するため、分析部署と事業部が「一つのチーム」として機能するための、新しい「連携プロセス」を設計したいです。私が両部門のリーダーに提案するための、具体的で、双方にメリットのある「ワークショップ」の企画書と、そこで使う「共通言語ツール」を考案してください。

-----

**【資料1】""分析""と""実行""を繋ぐ！「インサイト⇒アクション」共創ワークショップ企画書**

**企画名:** 分析レポートよ、""本棚の肥やし""になるな！「インサイト⇒アクション」戦略共創セッション

**1. ワークショップの目的:**

  * 分析部署による「分析結果の報告会」という、一方通行のコミュニケーションを完全に廃止する。
  * 分析担当者と事業部担当者が**ペア**となり、分析結果（インサイト）から、事業部が**明日から実行できる具体的なアクション**を、その場で**共創**すること。これにより、レポートの読解や翻訳にかかる双方の時間を大幅に削減する。

**2. ゴール:**

  * ワークショップ終了時に、後述の「インサイト・アクション・ブリッジ」シートが完成している。
  * 事業部が持ち帰るべき「次の具体的な一手」が、担当者と期限付きで3つ以上決定している。

**3. アジェンダ（案）**

  * **(1) イントロ：なぜ、最高の分析が""無駄""になるのか？（10分）** - 翻訳と共創の重要性
  * **(2) 分析ハイライト共有（15分）** - 分析担当者から、今回の分析で得られた「最も重要な発見（インサイト）」のみを、専門用語を避けて簡潔に共有（※詳細レポートは事前配布）
  * **(3) グループワーク：「インサイト・アクション・ブリッジ」作成（45分）** - 分析担当と事業部担当のペアで、インサイトをアクションに翻訳していく
  * **(4) アクションプラン発表とコミットメント（20分）** - 各ペアが決定したアクションプランを発表し、実行を約束する

-----

**【資料2】会議で使う思考ツール：「インサイト・アクション・ブリッジ」シート**

**目的:**
分析担当者の「発見（So What?）」と、事業部の「行動（Now What?）」を、具体的な議論を通じてスムーズに繋ぎ、その場で意思決定まで行うための共通言語ツール。

| **分析からの発見（Insight）**<br>（分析担当者が、データから読み解いた、最も重要な""気づき""） | **➡** | **事業部への""翻訳""（Implication）**<br>（この気づきは、我々（事業部）にとって、具体的に""どういう意味""を持つのか？） | **➡** | **具体的な""次の一手""（Action）**<br>（では、我々（事業部）は、明日から""何を""すべきか？） | **担当者** | **期限** |
| :--- | :- | :--- | :- | :--- | :--- | :--- |
| **（例）**<br>競合C社のWebサイト経由の売上が、この半年で急増している | **➡** | 我々の主要顧客層が、オフラインからオンラインへと、予想以上の速さで移行している可能性がある | **➡** | ・自社ECサイトのUI/UXを、競合C社と比較・分析する<br>・Web広告のテスト予算を申請する | 佐藤<br>鈴木 | 11/15<br>11/30 |
| | **➡** | | **➡** | | | |

-----

**\#追加の依頼**
この新しい連携ワークショップの導入を、分析部署と事業部の両リーダーに提案するにあたり、彼らが「また仕事が増える」「自分の領域に口出しされる」と警戒しないよう、**「これは、互いの専門性を尊重し、むしろ双方の""時間""と""労力""を削減し、より早く、より大きな成果を生むための、Win-Winの仕組みなのです」ということが伝わる、組織変革コンサルタントであるあなたの視点からの、説得力のある提案トーク**を教えてください。
」"
