カテゴリ,番号,,想定シーン,プロンプト本文
,50,顧客を「お金を払ってくれる人」としか見ておらず、長期的な関係を築くためのコミュニケーションを怠っている。,目の前の売上を上げるための施策に追われ、顧客と長期的な関係を築くための、地道なコミュニケーション活動に時間を割けない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（顧客との長期的な関係構築用） ▼▼▼
#役割
あなたは、顧客ロイヤルティとLTV（顧客生涯価値）の最大化を専門とする、経験豊富なビジネスコンサルタントです。特に中小企業の現場に即した、実践的で具体的なアドバイスを得意としています。

#背景
私が所属する中小企業では、一部の従業員が顧客を単なる「お金を払ってくれる人」と捉える短期的な視点に陥っており、長期的な信頼関係を築くためのコミュニケーションを軽視する傾向があります。この状況を放置すれば、顧客満足度の低下、リピート率の悪化、そして最終的には企業の成長を妨げる大きなリスクになると危惧しています。

#依頼
この深刻な問題を解決するため、以下の全ての項目について、明日からでも行動に移せるレベルで具体的かつ体系的な回答を生成してください。

1.  **問題点の分析:**
    「顧客をお金を払ってくれる人としてしか見ない」という考え方が、ビジネスに与える短期・長期の悪影響を、それぞれ3つずつ、説得力のある理由と共に挙げてください。

2.  **意識改革のための具体的なアプローチ:**
    従業員の意識を「取引」から「関係構築」へと転換させるための、効果的な方法を3つ提案してください。それぞれの方法について、なぜそれが有効なのかという理由も添えてください。（例：成功事例の共有会、顧客からの感謝の声の掲示、LTVの重要性を学ぶミニ研修など）

3.  **低コストで実践可能なコミュニケーション施策5選:**
    顧客と長期的な関係を築くために、中小企業でもすぐに導入できる低コストなコミュニケーション施策を5つ提案してください。各施策について、以下のフォーマットで記述してください。
    *   **施策名:**
    *   **目的:**
    *   **具体的な実行方法:**
    *   **期待される効果:**
    *   **成功させるためのコツ:**

4.  **最初の90日間アクションプラン:**
    提案してくれた施策を実践に移すための、最初の90日間の具体的なアクションプランを表形式で作成してください。プランには「フェーズ（例: 最初の30日）」「主な目標」「具体的なアクション」「担当部署/担当者」「KPI（主要業績評価指標）」の項目を含めてください。

#制約条件
*   専門用語には必ず簡単な解説を加えてください。
*   提案は、特定の業界に限定されず、多くのBtoC、BtoBの中小企業で応用可能なものにしてください。
*   精神論や抽象的な表現は避け、具体的で実践的な内容に終始してください。
」"
,51,成功事例ばかりをアピールし、あえて失敗談や弱みを自己開示することで生まれる信頼や共感の機会を逃している。,失敗談や弱みを自己開示するコンテンツは、社内調整に時間がかかるため、当たり障りのない成功事例のアピールが中心になる。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（成功事例ばかりをアピール用） ▼▼▼

#役割
あなたは、ビジネスにおける「共感ストーリーテリング」の専門家です。特に、個人の失敗談や弱みを、聞き手の信頼と共感を獲得するための強力な武器に変えるプロフェッショナルです。

#背景
私は、つい自分のビジネスや自身の成功体験ばかりをアピールしてしまいがちです。しかし、それでは相手との間に本当の信頼関係を築くことが難しいと感じています。これからは、あえて自身の失敗談や弱みを効果的に自己開示することで、人間的な魅力を伝え、相手との距離を縮めたいと考えています。

#あなたのゴール
以下の【私からの情報】に基づき、私が聞き手の心に響く「自己開示ストーリー」を語れるように、具体的な原稿とポイントを提案してください。

#私からの情報
*   **私のビジネス/役割:** 【例：中小企業向けのWebコンサルタント、飲食店の店長、営業チームのリーダーなど】
*   **ストーリーを話す相手:** 【例：新規の見込み客、採用面接に来た候補者、悩んでいる部下、チームメンバーなど】
*   **伝えたい私の強みや価値観:** 【例：誠実さ、顧客第一主義、粘り強さ、挑戦を恐れない姿勢など】
*   **自己開示したい失敗談や弱み:** 【ここに、正直に具体的なエピソードを書いてください。例：創業当初、自信過剰で顧客の意見を聞かず大失敗した。部下の育成に失敗し、チームがバラバラになりかけた。新しい技術の導入に乗り遅れ、競合に差をつけられた。】
*   **その経験から得た学びや教訓:** 【例：本当の顧客視点の重要性を学んだ。一方的な指示ではなく、対話がチームを強くすると気づいた。常に学び続ける謙虚さが必要だと痛感した。】

#命令
上記の情報を踏まえ、以下の2つの要素を含む提案を作成してください。

1.  **共感を呼ぶ「自己開示ストーリー」の原稿:**
    *   【ストーリーを話す相手】の心に響くような、誠実で人間味あふれる語り口で作成してください。
    *   話の冒頭で聞き手の興味を引き、失敗の状況、当時の感情、そしてそこから得た学びや現在の活動にどう繋がっているか、という流れで構成してください。
    *   単なる自虐や言い訳に聞こえないよう、ポジティブな教訓と未来への意志が伝わるようにしてください。

2.  **このストーリーを効果的に使うためのポイント解説:**
    *   このストーリーをどのようなタイミングや状況で話すと最も効果的か。
    *   語る際に意識すべき表情や声のトーンについてのアドバイス。
    *   このストーリーによって、相手にどのような印象を与え、どんな関係構築が期待できるか。

提案をお待ちしています。
」"
"D. 営業との断絶・連携不足 編

（マーケティング活動（見込み客の創出・育成）と、営業活動（商談・受注）が分断され、機会損失を生んでいる状況）
",52,顧客情報が各営業担当者のExcelや手帳で管理されており、会社として一元管理できていないため、マーケティング施策に活かせない。,顧客情報が各所に散在しており、それらを一元化してマーケティング施策に活かすためのデータ整備に、時間を投資できていない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（顧客情報の属人化とマーケティング活用用） ▼▼▼

#役割
あなたは、中小企業のDX（デジタルトランスフォーメーション）を数多く成功させてきた、実績豊富な経営コンサルタントです。特に、営業部門の非効率な業務を改善し、売上を向上させるための現実的な提案を得意としています。

#背景
私の会社は従業員50名ほどの中小企業です。現在、顧客に関する情報（会社名、担当者、過去の商談履歴、案件の進捗状況など）が、各営業担当者が個別に作成しているExcelファイルや、個人の手帳・記憶の中にしか存在しません。その結果、以下の問題が発生しています。
*   担当者が不在・退職した際に、顧客との関係性や過去の経緯がわからなくなり、引き継ぎが困難。
*   会社全体として「どのような顧客が」「どれくらいいるのか」を把握できない。
*   営業担当者間での情報共有がなく、成功事例や失敗事例が共有されない。
*   全社的なマーケティング施策（例：新サービスの案内メールを一斉送信する、特定の業種の顧客にキャンペーンを告知するなど）を打ちたくても、対象者リストすら作成できない。

#命令
この深刻な状況を解決し、顧客情報を会社の重要な資産として一元管理し、最終的にマーケティング施策に活用するための、具体的で実行可能なアクションプランを提案してください。

#出力形式
以下の4つのステップに従って、具体的かつ網羅的な提案を作成してください。
専門用語は極力避け、ITに詳しくない経営者や営業担当者にも理解できるよう、平易な言葉で説明してください。

*   **ステップ1：現状のリスク分析**
    この「顧客情報の属人化」という状況を放置し続けることで、会社にどのような経営上のリスクがあるのか、特に深刻なものを5つ挙げ、それぞれを具体的に解説してください。

*   **ステップ2：解決策の具体的なツール提案**
    中小企業の予算やITリテラシーを考慮し、顧客情報を一元管理するためのおすすめのツールを3つ提案してください。提案には、無料から始められるツールや、比較的低コストなSaaS（クラウドサービス）を含めてください。
    以下の項目をまとめた比較表を作成してください。
    *   ツール名
    *   ツールの概要と特徴
    *   メリット（どんな企業に向いているか）
    *   デメリット（注意点）
    *   費用の目安（無料プランの有無、有料プランの月額料金など）

*   **ステップ3：導入に向けたロードマップ**
    現場の営業担当者の抵抗を最小限に抑え、スムーズに新しいツールを導入・定着させるための具体的なロードマップを、以下の5段階で作成してください。
    1.  **準備段階：** 目的の共有、入力ルールの策定など
    2.  **ツール選定・契約段階：** トライアルの活用法など
    3.  **導入初期段階：** 過去データの移行、トレーニングなど
    4.  **定着・運用段階：** 入力を習慣化させるための工夫、マネージャーの役割など
    5.  **評価・改善段階：** KGI/KPIの設定と効果測定の方法など

*   **ステップ4：マーケティング施策への活用アイデア**
    顧客情報の一元管理が実現した未来を想定し、そのデータを活用して可能になる具体的なマーケティング施策のアイデアを5つ提案してください。どのようなデータを使って、どのようなアクションを起こし、どんな効果が期待できるのかを明確に示してください。
」"
,53,マーケティング担当（兼務）が頑張ってWebサイトから問い合わせを増やしても、営業が「そんなWebからの客は質が低い」と真剣に対応してくれない。,マーケティング担当がWebからの問い合わせを増やしても、営業担当は目の前の案件対応で手一杯で、すぐに対応できないことがある。,"「#### ▼▼▼ Geminiへのコピペ用プロンプト（マーケティングと営業の連携不足用） ▼▼▼
#役割
あなたは、中小企業のマーケティング部門と営業部門の連携を最適化し、売上を最大化させるプロの経営コンサルタントです。両部門の立場を深く理解し、対立を解消して協力関係を築くための、現実的かつ具体的な解決策を提示することを得意とします。

#背景
私は、リソースが限られた中小企業でマーケティングを兼務で担当しています。
最近、Webサイトからの問い合わせ（リード）を増やすことに成功したのですが、営業担当者から「Webからの問い合わせは質が低い」「冷やかし客ばかりで時間の無駄」「成約に繋がらない」といった不満が出ており、積極的にフォローアップしてくれません。
このままでは、せっかく獲得したリードが無駄になり、会社全体の成長機会を損失してしまいます。

#依頼事項
この状況を打開し、マーケティングと営業が協力して売上向上を目指せる体制を築くため、以下の項目について、網羅的かつ具体的なアクションプランを提案してください。

1.  **根本原因の分析:**
    営業が「Webからのリードは質が低い」と感じてしまう根本的な原因を、以下の視点から複数分析してください。
    *   リードの質（ターゲット設定、情報提供内容）
    *   リード情報の不足（営業が必要とする情報が渡せていない）
    *   期待値のズレ（マーケティングと営業の「良いリード」の定義が違う）
    *   コミュニケーション不足

2.  **明日からできる短期的なアクションプラン:**
    私がマーケティング担当として、まず明日から一人でも着手できる具体的なアクションを3つ提案してください。

3.  **営業を巻き込む中長期的な改善策:**
    営業部門との協力体制を築き、仕組みとして問題を解決するための中長期的な改善策を3つ提案してください。（例: 定例会の設定、リードの質の定義（MQL/SQL）、SLAの導入など）

4.  **営業への協力依頼トークスクリプト:**
    営業担当者に、この問題について建設的に話し合い、協力を仰ぐための会議や面談を依頼する際の、具体的な会話例（トークスクリプト）を作成してください。相手を非難するのではなく、「一緒に解決したい」という姿勢が伝わるポジティブな内容にしてください。

5.  **両部門の共通目標となるKPIの提案:**
    マーケティングと営業が同じ方向を向いて協力できるような、共通の目標となるKPI（重要業績評価指標）の例をいくつか挙げてください。

#制約条件
*   提案は、人員や予算が限られている中小企業でも実行可能なものにしてください。
*   どちらの部門が悪いという論調ではなく、あくまで「会社全体の売上を最大化する」という共通のゴールに向けた、建設的で協力的なアプローチを重視してください。
*   出力は日本語でお願いします。
」"
,54,展示会で集めた大量の名刺を、マーケティング担当に渡さず、営業担当者が自分の引き出しにしまい込んでいる。,展示会で集めた名刺のフォローアップに追われ、そのリストをマーケティング担当に共有し、次の施策に繋げるという連携まで手が回らない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（展示会で集めた名刺を営業がしまい込む問題用） ▼▼▼
#役割
あなたは、中小企業の組織課題を解決するトップクラスの経営コンサルタントです。特に、営業部門とマーケティング部門の連携強化に関する数多くの成功事例を持っています。

#背景
クライアントである中小企業で、以下の問題が深刻化しています。
- **問題:** 展示会で集めた大量の名刺を、マーケティング担当者に共有せず、個々の営業担当者が自分の引き出しにしまい込んでいる。
- **結果:** 貴重な見込み客情報が「死蔵」され、会社全体の資産として活用できていない。

#命令
この問題を根本から解決するための、実行可能で具体的なアクションプランを提案してください。以下の構成で、網羅的な回答を生成してください。

### 1. 根本原因の多角的分析
営業担当者が名刺をしまい込む理由を、以下の3つの視点から深く分析し、それぞれ複数挙げてください。
- **営業担当者の心理的要因:** (例: 成果の独占欲、マーケティングへの不信感、多忙による後回しなど)
- **組織の構造的要因:** (例: 個人主義的な評価制度、情報共有ルールの不在、部門間の対立構造など)
- **ツールの問題:** (例: 情報入力が面倒なシステム、共有ツールの不在など)

### 2. 問題がもたらす深刻なリスク
この「名刺の死蔵」が会社に与える経営上のリスクと機会損失を、短期・中期・長期の視点で具体的にリストアップしてください。

### 3. 解決のための段階的アクションプラン
問題を解決するための具体的な打ち手を、以下の3ステップで提案してください。
- **ステップ1: 即時実行可能な応急処置 (短期)**
  - (例: 次回の展示会後の名刺回収ルールの暫定設定、営業へのメリット説明会の開催など)
- **ステップ2: 仕組み化と定着 (中期)**
  - (例: CRM/SFAの導入・活用ルール策定、マーケと営業の定例会議設置、リードの質に関するフィードバックループの構築など)
- **ステップ3: 企業文化への昇華 (長期)**
  - (例: 部署を横断したKGI/KPIの設定、会社全体の売上への貢献度を評価する制度への改定など)

### 4. 関係者別・説得トークスクリプト
この改革を進めるために、あなたがマーケティング担当者になりきって、以下の人物を説得するための具体的な会話シナリオを作成してください。相手の反論も想定し、それに対する切り返しも含めてください。
- **対象者1: 非協力的なエース営業担当者**
- **対象者2: 現状維持を望む営業マネージャー**
- **対象者3: 投資に慎重な経営者**

#出力形式の制約
- 全体を通して、専門用語は避け、誰が読んでも理解できる平易な言葉で説明してください。
- 提案するアクションは、理想論ではなく、リソースの限られた中小企業でも実行可能なレベルにしてください。
- 各項目は見出しを使い、箇条書きを多用して、視覚的に分かりやすく構成してください。
」"
,55,営業が日々の活動で得た、顧客の生々しいニーズや競合の最新情報が、マーケティング施策に全く反映されない。,営業が日々の活動で得た顧客の声を、週報などで報告はするものの、それをマーケティング部門が分析し、施策に反映させるための時間が足りない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（営業とマーケの連携強化用） ▼▼▼

#役割
あなたは、中小企業の組織課題解決を専門とする、非常に優秀な経営コンサルタントです。特に、営業部門とマーケティング部門の連携を強化し、売上を最大化させるための実践的な施策立案を得意としています。

#背景
私が所属する中小企業では、営業部門とマーケティング部門が断絶しており、深刻な機会損失を生んでいます。
具体的には、営業担当者が顧客との最前線で得た、以下のような「宝の山」とも言える一次情報が、マーケティング部門の施策に全く活用されていません。

*   顧客が抱える課題やニーズに関する「生の声」
*   競合他社の最新の価格設定、キャンペーン、営業トーク
*   失注した案件のリアルな原因（価格、機能、サポート体制など）
*   顧客が購入を決定した際の「決め手」となったポイント

その結果、マーケティング部門は現場の感覚とズレたメッセージを発信し続け、営業部門は「マーケの支援は役に立たない」と感じる、という負のスパイラルに陥っています。

#命令
この「営業とマーケの連携不足」という根深い課題を解決するため、明日からでも実行可能で、中小企業の実態に即した具体的なアクションプランを提案してください。

#出力形式の指定
以下のフレームワークに従って、構造的に回答を生成してください。

1.  **課題の構造分析:**
    *   なぜこの問題が発生するのか、考えられる根本原因を「仕組み」「スキル」「意識」の3つの観点から分析してください。

2.  **即効性のある短期アクションプラン（最初の1ヶ月で実行すべきこと）:**
    *   **アクション1：** （具体的なアクション名）
        *   **目的:**
        *   **進め方 (Step-by-Step):**
        *   **ポイント:**
    *   **アクション2：** （具体的なアクション名）
        *   **目的:**
        *   **進め方 (Step-by-Step):**
        *   **ポイント:**

3.  **定着させるための中長期的な仕組みづくり（3ヶ月〜半年で目指す姿）:**
    *   **仕組み1：** （具体的な仕組みや会議体の名称）
        *   **目的:**
        *   **運営ルール:**
        *   **成功のための秘訣:**
    *   **仕組み2：** （具体的な仕組みやツールの名称）
        *   **目的:**
        *   **運営ルール:**
        *   **成功のための秘訣:**

4.  **連携の成果を測るKPI（重要業績評価指標）案:**
    *   連携の進捗と成果を定量的に評価するためのKPIを3つ提案し、それぞれの計測方法と目標設定の考え方を説明してください。

」"
,56,マーケティングが作った製品カタログや提案資料を、営業が「これは使いにくい」と言って、各自がバラバラに作り変えて使っている。,マーケティングが作った資料に対し、営業からフィードバックをもらい、それを改善するという、時間のかかるPDCAサイクルを回せていない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（営業による資料の個別改変問題用） ▼▼▼

#役割
あなたは、中小企業の組織課題解決を専門とする経験豊富な経営コンサルタントです。特に、営業部門とマーケティング部門の連携強化による売上向上を得意としています。

#背景と課題
私が所属する中小企業では、以下の問題が発生しています。
*   **状況:** マーケティング部門が全社統一の製品カタログや提案資料を作成している。
*   **問題:** 営業担当者が「顧客に響かない」「情報が足りない」「使いにくい」といった理由で、その資料を各自で自由に作り変えて使用している。
*   **結果:**
    *   顧客に伝える情報やブランドイメージにばらつきが生じている。
    *   営業担当者各自が資料作成に時間を費やし、非効率になっている。
    *   現場の貴重な顧客の声がマーケティング部門にフィードバックされず、資料の改善が進まない。

#命令
この根深い問題を解決し、営業とマーケティングが一体となって成果を出せるようにするための、体系的で具体的なアクションプランを提案してください。

#出力形式と条件
*   以下の【3つのステップ】に沿って、具体的なアクションを詳細に記述してください。
*   各アクションは、明日からでも実践できるような、具体的で分かりやすいものにしてください。
*   中小企業でも実行可能な、低コストで現実的なアイデアを重視してください。

---

**【ステップ1：現状の徹底的な可視化と共通認識の醸成】**
1.  **「営業の声」ヒアリング:** 営業担当者がなぜ資料を「使いにくい」と感じるのか、具体的な理由を深掘りするためのヒアリングシートの項目案を5つ以上作成してください。（例：「どのページの、どの表現が、なぜ使いにくいと感じますか？」など）
2.  **「マーケの意図」共有:** マーケティング担当者が、資料の各項目に込めた「目的」や「ターゲットへの訴求ポイント」を営業に説明する場（30分程度の短い会議）のアジェンダを作成してください。
3.  **「改変後資料」の収集と分析:** 営業担当者が実際に使っている「改変後の資料」を数パターン集め、元の資料とどこが違うのか、どのような顧客ニーズに応えようとしているのかを分析する際の着眼点を3つ挙げてください。

**【ステップ2：協働による「最強の営業ツール」の共創】**
1.  **合同ワークショップの企画:** 営業とマーケティングの代表者が集まり、理想の営業資料について議論するワークショップ（約2時間）の具体的な進行案とアジェンダを提案してください。
2.  **「基本テンプレート＋カスタマイズ領域」の設計:** 全社で統一すべき「ブランド・基本情報」と、営業担当者が顧客に合わせて追記・修正できる「カスタマイズ領域」を明確に分けた、新しい資料テンプレートの構成案を提案してください。
3.  **「成功事例コンテンツ」の共有ライブラリ化:** 営業現場で得られた「お客様の声」「導入成功事例」などを簡単に収集・共有し、誰もが資料に活用できる仕組みのアイデアを2つ提案してください。

**【ステップ3：仕組み化による継続的な改善サイクル】**
1.  **新しい運用ルールの策定:** 新しい資料テンプレートの「更新・管理・共有」に関するシンプルな運用ルールを3つ提案してください。
2.  **定例フィードバック会の設計:** 現場での資料の使い勝手や成果を共有し、継続的に改善していくための「月1回・30分」の定例会の目的と、話し合うべきアジェンダ案を提示してください。
3.  **成果を測るためのKPI設定:** この取り組みの成果を評価するためのKPI（重要業績評価指標）の例を3つ挙げてください。（例：資料作成時間の削減率、特定資料を用いた商談の成約率など）
」"
,57,Webサイトからの資料請求者に対して、誰が、いつ、どのようにフォローするのかというルールがなく、多くの見込み客を放置している。,Webからの資料請求者へのフォローアップが、担当者の通常業務の合間に行われるため、対応が遅れ、機会損失に繋がっている。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（Webサイトからの資料請求者フォロー体制の構築用） ▼▼▼

# あなたの役割
あなたは、中小企業の限られたリソース（人、モノ、金、時間）を深く理解している、経験豊富な経営コンサルタント兼マーケティング戦略家です。特に、見込み客育成（リードナーチャリング）の仕組み化を得意としています。

# 背景と課題
私たちの会社は中小企業です。現在、自社のWebサイトから製品やサービスの資料請求が月に数件～数十件ありますが、その後のフォローアップに関する明確なルールや体制が全くありません。
その結果、誰が、いつ、どのように対応するかが決まっておらず、多くの貴重な見込み客を放置してしまっている状態です。これは大きな機会損失だと感じています。

# 依頼内容
この課題を解決するため、明日からでも実践できる、具体的で実行可能な「資料請求者フォローアップ体制の構築プラン」をステップバイステップで提案してください。

# 提案に含めてほしい項目
1.  **役割分担と責任者:**
    *   誰が（例：営業担当、事務担当など）主担当になるべきか。
    *   それぞれの担当者が具体的に何をすべきか（役割定義）。
2.  **フォローアップのタイムラインと手法:**
    *   資料請求直後、1日後、3日後、1週間後など、時間軸に沿った具体的なアクションプラン。
    *   各タイミングで最適なフォローアップ方法（例：自動返信メール、担当者からの個別メール、電話）。
3.  **すぐに使えるテンプレート:**
    *   【重要】初回フォローメールの件名と本文のテンプレート。
    *   【重要】初回電話フォローの目的と、具体的な会話の流れを示したトークスクリプト。
4.  **シンプルな進捗管理方法:**
    *   高価なツールを使わずに、Googleスプレッドシートや無料のTrelloなどでフォロー状況を管理・共有するための具体的な方法と、管理シートの項目例（例：会社名、担当者名、資料請求日、初回連絡日、反応、次回アクション予定日など）。
5.  **成功を測るための指標（KPI）:**
    *   この取り組みの成果を測るためのシンプルな指標を2～3個提案してください（例：初回コンタクト率、アポイント獲得率など）。
6.  **導入計画:**
    *   この体制を無理なく社内に導入するための、最初の1週間、最初の1ヶ月でやるべきことを具体的に示してください。

# 出力形式
*   各項目を明確に分けて、箇条書きや表を効果的に使用してください。
*   専門用語は避け、中小企業の社員なら誰でも理解できる平易な言葉で説明してください。
*   単なる理想論ではなく、現実的で実行可能性が高いプランを重視してください。
」"
,58,営業部門とマーケティング部門（担当者）の目標（KPI）が異なり、互いに協力するインセンティブが働かない。,営業部門とマーケティング部門（担当者）が、それぞれのKPI達成に追われ、両部門の目標をすり合わせるための、戦略的な会議の時間が持てていない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（営業とマーケティングの連携不足用） ▼▼▼
#役割
あなたは、中小企業の事業成長を支援する、営業・マーケティング連携の専門家です。特に、部門間の対立を解消し、協力体制を構築するための実践的なアドバイスに定評があります。

#背景
私が勤める中小企業では、営業部門とマーケティング部門の連携が全くうまくいっていません。この問題は、多くの社員が課題だと感じていますが、具体的な解決策が見つからないままです。

#状況
- **営業部門の目標(KPI):** 受注件数、売上金額
- **マーケティング部門の目標(KPI):** リード（見込み客）獲得数、Webサイトへのアクセス数
- **発生している問題:**
  - マーケティングはKPI達成のため、質を問わず多くのリードを獲得しようとします。その結果、営業は「質の低いリードばかりだ」と不満を抱いています。
  - 営業は自身のKPI達成のため、確度の高い顧客へのアプローチを優先し、マーケティングから提供されたリードへの対応が後回しになりがちです。その結果、マーケティングは「せっかく獲得したリードを無駄にしている」と不満を抱いています。
  - お互いの業務への不理解から、「マーケは現場を知らない」「営業は会社の戦略を理解していない」といった部門間の対立感情が生まれています。

#命令
上記の状況を打破し、両部門が協力して会社全体の売上を最大化するための、具体的で実践的なアクションプランを提案してください。提案は以下の構成に従って、ステップバイステップで分かりやすく説明してください。

#出力構成
1.  **【問題の再定義】**
    この問題の根本的な原因は何かを、組織構造、目標設定、コミュニケーションの3つの観点から分析してください。

2.  **【短期的な応急処置：担当者レベルで明日からできること】**
    経営層の承認がなくても、営業担当者とマーケティング担当者がすぐに始められる具体的なアクションを3つ提案してください。各アクションの目的と進め方も明確に記述してください。

3.  **【中長期的な根本治療：会社として取り組むべき仕組み作り】**
    問題を根本的に解決し、持続的な協力体制を築くために、経営層を巻き込んで導入すべき仕組みやルールを3つ提案してください。

4.  **【魔法の質問】**
    両部門の担当者が集まる会議で、この状況を打開するきっかけとなるような、強力な問いかけを1つだけ教えてください。
」"
,59,営業は「今すぐ客」だけを追いかけ、マーケティングは「そのうち客」を育てようとするが、その間の連携が全くない。,営業は「今すぐ客」への対応に追われ、マーケティングが時間をかけて育成しようとしている「そのうち客」へのアプローチが、後回しになってしまう。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（営業とマーケティングの連携不足解消用） ▼▼▼
# 前提条件
あなたは、中小企業の生産性向上を専門とする、経験豊富な経営コンサルタントです。特に、営業部門とマーケティング部門の連携を強化し、売上を最大化させるための仕組みづくりを得意としています。

# 依頼内容
私が所属する中小企業が抱える以下の根深い問題を解決するため、具体的かつ実行可能なアクションプランを提案してください。

## 企業の状況
- **営業部門:**
  - 短期的な売上目標の達成が至上命題。
  - 購買意欲が非常に高い「今すぐ客」へのアプローチに全リソースを集中している。
  - マーケティング部門から提供されるリード（見込み客）を「質が低い」「まだ温度感が低い」と判断し、ほとんどフォローしない。

- **マーケティング部門:**
  - 潜在顧客である「そのうち客」を見つけ出し、メルマガやセミナーなどで長期的に育成（リードナーチャリング）することに注力している。
  - 手塩にかけて育てたリードを営業部門に渡しても放置されるため、徒労感を感じている。
  - 営業からのフィードバックが一切ないため、どのようなリードが受注に繋がりやすいのか分からず、施策の改善ができない。

- **結果として生じている問題:**
  - 部門間の対立と相互不信が深刻化している。
  - 会社全体として、多くの商談機会を損失している。
  - 顧客へのアプローチに一貫性がなく、企業としてのブランドイメージを損なっている。

# 出力にあたっての指示
以下の構成と条件を厳守し、ステップバイステップで詳細なアクションプランを提案してください。

1.  **根本原因の診断:**
    - この問題を引き起こしている構造的な原因を3つのポイントに絞って簡潔に分析してください。

2.  **即時実行可能な応急処置（最初の1ヶ月）:**
    - 高価なツール導入などを必要とせず、明日からでも始められる具体的なアクションを3つ提案してください。「意識改革」のような精神論ではなく、「〇〇というルールを設ける」「〇〇の情報を共有する」といった、行動レベルの提案をお願いします。

3.  **連携を仕組み化する中期プラン（3ヶ月〜半年）:**
    - 属人的な努力に頼らず、両部門の連携を会社の文化として定着させるための「仕組み」や「ルール」を3つ提案してください。

4.  **両部門が同じ目標を追うための共通KPI案:**
    - 両部門の対立をなくし、共通のゴールを目指すために設定すべきKPI（重要業績評価指標）を3つ挙げ、それぞれのKPIがなぜ連携強化に有効なのか、その理由も具体的に説明してください。

5.  **キックオフミーティングの設計:**
    - この問題解決の第一歩として開催すべき「営業・マーケティング合同キックオフミーティング」について、以下の内容を具体的に提案してください。
    - **理想的なアジェンダ（議題）**
    - **円滑な進行のためのファシリテーションのポイント**
    - **この会議で絶対に合意すべき事項**
」"
,60,失注した案件について、営業からマーケティングへのフィードバックがなく、なぜ失注したのかを分析して次の施策に活かすことができない。,失注した案件について、営業からマーケティングへのフィードバックを行う、公式な会議やレポートの時間が設けられていない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（失注案件のフィードバック不足用） ▼▼▼
# 役割
あなたは、中小企業の営業とマーケティングの連携強化を専門とする、経験豊富なビジネスコンサルタントです。特に、セールスプロセスにおけるボトルネックの特定と、データに基づいた改善サイクルの構築を得意としています。

# 背景
私は中小企業に勤めており、以下の深刻な課題に直面しています。
*   **課題:** 失注した案件について、営業担当者からマーケティング部門へフィードバックが全くない状態です。
*   **結果:** なぜ失注したのか（競合、価格、機能、提案内容など）を分析できず、貴重な顧客の声をマーケティング施策や商品開発に活かすことができていません。失注から学ぶ文化が醸成されないまま、同じ失敗を繰り返している可能性があります。
*   **営業側の想定される事情:**
    *   日々の業務に追われ、フィードバックを入力する時間がない、面倒だと感じている。
    *   フィードバックの重要性を理解していない、または「自分の仕事ではない」と考えている。
    *   フィードバックした内容が、どう活用されるのか不明でモチベーションが上がらない。
    *   フィードバックするための明確なルールや簡単な仕組み（フォーマット、ツール）がない。

# 命令
上記の背景と想定される事情をすべて踏まえた上で、営業担当者が「負担なく、かつ積極的に」失注理由をマーケティングにフィードバックしたくなるような、効果的な仕組みと具体的なアクションプランを提案してください。

# 出力形式の要件
*   提案は以下の3つの観点から構成してください。
    1.  **【仕組み化・効率化】:** 営業の負担を最小限にするための具体的なツールやプロセスのアイデア。
    2.  **【動機付け・文化醸成】:** 営業がフィードバックの価値を理解し、前向きに取り組むための施策。
    3.  **【連携強化】:** 営業とマーケティングの壁を取り払い、協力体制を築くためのコミュニケーションプラン。
*   それぞれの提案について、「目的」「具体的なアクション」「期待される効果」を明確に分けて、箇条書きで記述してください。
*   明日からでも始められるような、即実行可能なアイデアを必ず含めてください。
*   中小企業でも導入しやすい、低コストで実現可能な方法を優先してください。
」"
