カテゴリ,番号,,想定シーン,プロンプト本文
,60,製品を売るところまでがゴールになっており、その後の顧客の成功（カスタマーサクセス）を支援する体制や意識がない。,製品を販売した後の、顧客の利用状況をヒアリングしたり、成功を支援したりする「カスタマーサクセス」のための時間を確保できていない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（カスタマーサクセス体制の構築用） ▼▼▼

#役割
あなたは、中小企業の限られたリソース（人・モノ・金）を深く理解し、数々の企業を成功に導いてきた実績を持つ、カスタマーサクセスのプロフェッショナル・コンサルタントです。

#背景
私たちの会社は、【ここに自社の業種や製品・サービスを簡潔に記入】を扱う中小企業です。
現状、製品を販売することがゴールとなっており、その後の顧客フォローや、顧客が製品・サービスを使って成功体験を得るための支援体制・文化が全くありません。結果として、顧客満足度が上がらず、リピート購入や口コミにも繋がっていない可能性があります。

#命令
この「売りっぱなし」の状態から脱却し、顧客の成功を組織的に支援する「カスタマーサクセス」の文化を社内に根付かせるための、具体的で実行可能な「最初の一歩」となるアクションプランを提案してください。

#出力形式と条件
*   大企業向けの理想論ではなく、明日からでも試せる現実的な施策に絞って提案してください。
*   以下の4つの章立てで、網羅的なレポートを作成してください。

---

**【カスタマーサクセス導入計画書】**

**1. なぜ今、私たちにカスタマーサクセスが必要なのか？**
*   「売り上げ」以外の指標（例：顧客満足度、LTV、解約率など）に目を向けることの重要性を、経営層にも響くように論理的かつ簡潔に説明してください。

**2. まずは何から始める？現実的な3ステップ・ロードマップ**
*   「現状把握」「スモールスタート」「仕組み化」の3つのステップに分け、それぞれのステップで具体的に何をすべきかを箇条書きで示してください。

**3. 【最重要】コストをかけずに今日から始められるアクションリスト**
*   以下の視点で、担当者一人でも始められる具体的なアクションを、表形式で最低5つ提案してください。
    *   **アクション名:**（例：サンキューコールの実施）
    *   **目的:**（例：購入直後の不安解消と関係構築）
    *   **具体的なやり方:**（例：製品到着から3日後に電話し、「問題なく使えていますか？」と状況をヒアリングする。時間は5分以内。）
    *   **期待できる効果:**（例：ロイヤリティ向上、初期段階での解約防止）

**4. 社内の「売りっぱなし意識」を変えるための、効果的な働きかけ**
*   カスタマーサクセスの重要性を、営業担当者や他の部署のメンバーに理解してもらい、協力を得るための具体的なコミュニケーション方法や働きかけのコツを3つ提案してください。

---
」"
,61,顧客からの要望やフィードバックを収集する仕組みがなく、収集しても製品やサービスの改善に活かされていない。,顧客からの要望やフィードバックを、ただ収集するだけでなく、それを分析し、製品改善の優先順位をつけるための議論の時間が足りない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（顧客フィードバックの収集と活用用） ▼▼▼

#役割
あなたは、中小企業の課題解決を専門とする、経験豊富な経営コンサルタントです。特に、顧客満足度を向上させ、製品・サービス開発を加速させるための「顧客の声（VoC）」の活用戦略立案を得意としています。

#背景
私は中小企業に勤務しています。私たちの会社は、以下の課題を抱えています。
- **課題:** 顧客からの要望やフィードバックを積極的に収集する仕組みがありません。営業担当者が個人的にヒアリングすることはあっても、全社で共有・蓄積されていません。そのため、せっかく頂いた貴重なご意見が、製品やサービスの具体的な改善に活かされていないのが現状です。

#指示
上記の課題を解決するため、私たちの会社が明日からでも着手できる、**「顧客フィードバックを収集し、製品・サービス改善に活かすための一連の仕組み」**に関する具体的なアクションプランを提案してください。

#出力条件
- 提案は、大企業のような複雑なシステムや高額なツールを必要としない、**低コストで実行可能な現実的なアイデア**に絞ってください。
- 以下のステップに沿って、体系的かつ具体的に説明してください。

### ステップ1: フィードバック収集の仕組み化
- **「手軽に始められるフィードバック収集方法」**を、オンラインとオフラインから合計5つ提案してください。
- それぞれの方法について、「目的」「具体的なやり方」「メリット」「注意点」を明確に記述してください。

### ステップ2: 収集した情報の管理と分析
- 収集したフィードバックを管理するための、**Excelや無料のGoogleフォーム/スプレッドシートを活用したシンプルな管理方法**を具体的に教えてください。
- 膨大なフィードバックの中から、**改善インパクトの大きい重要な意見を見つけ出し、優先順位を付けるための簡単な分析手法**を2つ提案してください。

### ステップ3: 改善アクションへの反映と社内共有
- 分析結果を具体的な**「改善アクションプラン」に落とし込むためのプロセス**を説明してください。
- 開発、営業、マーケティングなど、**部署を横断して顧客の声を共有し、改善サイクルを回し続けるための、シンプルな定例会議（月1回程度）のアジェンダ案**を提示してください。

### ステップ4: 顧客へのフィードバック
- 頂いた意見が製品・サービスに反映されたことを顧客に伝え、**顧客エンゲージメントを高めるための効果的な方法**を2つ提案してください。

」"
,62,営業担当者によって、値引きの基準や提供する情報が異なり、顧客が不公平感を感じてしまう。,営業担当者ごとに値引きの基準や提供する情報が異ならないよう、全社でルールを統一し、周知徹底するための時間が不足している。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（営業担当者による対応のバラつき解消用） ▼▼▼

#役割
あなたは、多くの中小企業の営業組織を改革してきた、経験豊富な経営コンサルタントです。特に、営業プロセスの標準化と顧客満足度の向上において高い専門性を持っています。

#背景
私が経営する中小企業では、営業担当者によって顧客への値引き基準や提供する情報に大きなバラつきが生じています。その結果、一部の顧客から「担当者によって言うことが違う」という不満の声が上がり、企業としての信頼を損ないかねない危機的な状況です。営業担当者個人のスキルに依存した属人的な体制から脱却し、組織として一貫した質の高いサービスを提供できる体制を早急に構築したいと考えています。

#依頼
この問題を根本的に解決するため、以下の全ての項目について、具体的かつ実践的なアクションプランを提案してください。

1.  **根本原因の分析**:
    *   なぜ営業担当者ごとに値引きや情報提供に差が生まれてしまうのか、考えられる根本原因を5つ、箇条書きで挙げてください。

2.  **体系的な解決策の提案**:
    *   この問題を解決するための具体的な施策を、「短期（1ヶ月以内に着手可能）」「中期（3ヶ月〜半年）」「長期（1年〜）」の3つの時間軸で整理し、それぞれ3つずつ提案してください。

3.  **値引きルールの策定**:
    *   誰でも公平に判断できるような、明確な「値引きルール」のサンプルを作成してください。以下の要素を必ず含めてください。
        *   値引きの基本方針（原則、例外）
        *   取引条件（例：取引量、契約期間、支払い条件）に応じた割引率のテーブル
        *   担当者、マネージャー、役員など、役職ごとの決裁権限と承認プロセス（フローチャート形式で示すこと）

4.  **情報共有の仕組み化**:
    *   全ての営業担当者が常に最新かつ正確な情報（製品情報、価格、キャンペーン、成功事例など）を共有・活用できる仕組みを3つ提案し、それぞれのメリット・デメリットを簡潔に説明してください。

5.  **顧客への説明用トークスクリプト**:
    *   過去に担当者間の対応の差によって不公平感を感じた可能性のある顧客に対し、信頼を回復し、今後の標準化された対応方針を説明するためのトークスクリプトを作成してください。以下の2つのシチュエーションを想定してください。
        *   **Aパターン**: 顧客から直接不満を指摘された場合の謝罪と説明
        *   **Bパターン**: こちらから能動的に、今後の体制変更について前向きに説明する場合

#出力形式
*   各項目は、見出しを付けて明確に区切ってください。
*   専門用語は避け、中小企業の経営者がすぐに理解できる平易な言葉で説明してください。
*   提案内容は、単なるアイデアの羅列ではなく、明日からでも行動に移せるような具体的な手順を意識してください。
」"
,63,WebサイトやSNSは積極的に更新するが、リアルな顧客接点である店舗スタッフへの情報共有が遅れている。,WebサイトやSNSでの発信内容を、リアルな顧客接点である店舗スタッフに事前に共有し、連携を図るという手間をかけられていない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（Webと店舗の情報共有の遅れ用） ▼▼▼

# 指示
あなたは、中小企業のDXと店舗運営改善を専門とする、非常に優秀な経営コンサルタントです。
以下の課題を解決するための、具体的で実行可能なアクションプランを提案してください。

# 課題背景
私たちの会社では、WebサイトやSNSでの情報発信（新商品、キャンペーン、セール情報など）は活発に行っています。しかし、その重要な情報が、最も顧客接点の多い「店舗の現場スタッフ」へ迅速かつ正確に共有されていません。
その結果、お客様がSNSで見た情報について質問してもスタッフが答えられなかったり、Web限定企画について店舗で問い合わせを受けて混乱が生じたりと、顧客満足度の低下と販売機会の損失を招いています。

# 依頼事項
この「オンラインと店舗の情報格差」を解消し、顧客体験をシームレスに連携させるための、総合的な改善プランを立案してください。

# 提案に必ず含めてほしい要素と出力形式
*   **提案の構成:** 以下の4つのセクションで構成してください。
    1.  **【ステップ1】即時実行できる応急処置:** 明日からでも始められる、最も簡単で効果的な情報共有の具体策。
    2.  **【ステップ2】情報共有の仕組み化:** 属人化を防ぎ、共有漏れをなくすための「ルール」と「業務フロー」の提案。
    3.  **【ステップ3】ツールの導入と活用法:** 中小企業でも導入しやすい、低コストまたは無料の情報共有ツール（例: ビジネスチャット、タスク管理ツールなど）を3つ挙げ、それぞれのツールを使った具体的な運用方法を解説。
    4.  **【ステップ4】現場への浸透プラン:** 新しいルールやツールを、店舗スタッフに抵抗なく受け入れてもらい、習慣化させるためのコミュニケーション方法や動機付けのコツ。

*   **表現のルール:**
    *   専門用語を避け、誰もが理解できる平易な言葉で説明してください。
    *   各提案は箇条書きを使い、具体的なアクションがイメージできるように記述してください。
    *   なぜそれが必要なのか（目的）も併記してください。

」"
,64,製品に不具合があった際の対応プロセスが明確になっておらず、顧客に不安を与えてしまう。,製品に不具合があった際の対応プロセスを、事前に文書化し、関係者でリハーサルを行うといった、時間のかかる準備ができていない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（製品不具合対応プロセスの明確化用） ▼▼▼
あなたは、中小企業の品質管理体制構築を支援する、経験豊富な経営コンサルタントです。

# 背景
当社は中小企業で、製品に不具合があった際の対応プロセスが明確に定まっていません。そのため、担当者によって対応がバラバラになり、顧客への報告が遅れたり、内容が不十分だったりすることで、お客様に大きな不安と不信感を与えてしまっている状況です。

# 命令
この問題を解決し、迅速かつ誠実な対応で顧客満足度を向上させるため、以下の条件を満たす「製品不具合対応の標準プロセス」を具体的に提案してください。

# 条件
1.  **プロセスの全体像**: 不具合発生の覚知から、再発防止策の社内展開までを、時系列のフロー（フェーズ分け）で分かりやすく示してください。
2.  **各ステップでの具体的なアクション**: 各ステップにおいて「担当部署（例：営業、開発、品質保証）」「具体的な行動内容」「完了目標時間（例：覚知後1時間以内）」を明確にした表を作成してください。
3.  **顧客へのコミュニケーションプラン**: 各ステップにおいて、「誰が」「どのタイミングで」「どのような内容を（報告、お詫び、進捗、最終報告など）」顧客に連絡すべきかを示してください。特に重要な「第一報」と「原因と対策の最終報告」については、そのまま使えるような丁寧なメール文例も作成してください。
4.  **社内連携**: 関係部署間での情報共有を円滑にするためのルールや方法（例：報告フォーマット、定例会議）も具体的に提案してください。
5.  **中小企業向け**: リソースが限られている中小企業でも、すぐに導入・実践できるような、シンプルで現実的な内容にしてください。
」"
,65,顧客とのすべての接点（広告→営業→契約→納品→サポート）を「線」で捉えられておらず、それぞれの体験が分断されている。,顧客とのすべての接点（広告→営業→納品→サポート）での体験を、部署横断で洗い出し、改善していく、という壮大なプロジェクトに着手する時間がない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（顧客接点の分断用） ▼▼▼

#役割
あなたは、中小企業の顧客体験（CX）向上を専門とする超一流の経営コンサルタントです。特に、分断された顧客接点をシームレスに連携させ、顧客生涯価値（LTV）を最大化する戦略立案のプロフェッショナルです。

#背景
私たちの会社では、顧客との一連の接点（広告認知 → 営業 → 契約 → 納品 → アフターサポート）が、それぞれの部門で最適化されすぎており、全体として「線」になっていません。その結果、顧客は部門を移動するたびに一貫性のない体験を強いられ、不満や離脱の原因となっています。この状況を打破し、全ての顧客接点を統合した、感動を生むような一貫した顧客体験をデザインしたいと考えています。

#依頼事項
以下の【私たちの会社の状況】を読み解き、分断された顧客体験を「一本の線」で繋ぎ、顧客ロイヤルティを劇的に向上させるための、具体的で実行可能な改善計画を提案してください。

---
【私たちの会社の状況】

*   **会社・事業概要：**
    （例：BtoB向けのクラウド型勤怠管理システムを開発・販売している。）

*   **ターゲット顧客像：**
    （例：従業員数30〜100名規模の中小企業。IT専門部署がなく、総務担当者が兼任していることが多い。）

*   **現在の各顧客接点の具体的な状況と課題：**
    *   **広告・マーケティング：**
        （例：「簡単導入」「低コスト」を謳ってリード獲得。しかし、機能の複雑さや初期設定の工数についてはあまり触れていない。）
    *   **営業：**
        （例：契約獲得を最優先。顧客の細かい運用ニーズより、標準機能での導入を強く推奨しがち。マーケティング部門との情報連携は薄い。）
    *   **契約・手続き：**
        （例：契約書類のやり取りが中心。営業担当者から顧客情報が十分に引き継がれず、顧客は同じ説明を何度もする羽目になる。）
    *   **納品・サービス提供（導入支援）：**
        （例：導入支援チームが担当。営業が伝えていた「簡単さ」とのギャップに顧客が戸惑うことが多い。「それは別料金です」という場面も発生。）
    *   **アフターサポート：**
        （例：問い合わせへの対応が中心。顧客の利用状況やビジネス課題を能動的にヒアリングすることはなく、受動的な対応に終始している。）
---

#出力指示
上記の情報を基に、以下の構成で改善計画を提案してください。

1.  **根本原因の診断：**
    なぜ私たちの会社で顧客体験の分断が起きているのか、その根本原因を「組織文化」「情報共有」「評価制度」「顧客視点」の4つの観点から鋭く分析してください。

2.  **理想のカスタマージャーニーマップ（骨子）：**
    現状の課題を解決した、理想的な顧客体験の流れを「認知」から「ファン化」までのフェーズに分けて具体的に記述してください。各フェーズで顧客がどのような体験をし、どういう感情を抱くべきかを明確に示してください。

3.  **部門横断型アクションプラン：**
    理想のジャーニーを実現するため、各部門が連携して取り組むべき具体的なアクションプランを提案してください。特に「部門間の情報連携をスムーズにする仕組み」と「顧客への約束を一貫させるためのルール作り」に重点を置いてください。
    *   **短期的施策（明日からできること）：**
    *   **中長期的施策（3ヶ月〜1年で取り組むこと）：**

4.  **成功を測るためのKPI提案：**
    この改善計画の進捗と成果を全社で追跡するための最も重要なKPI（重要業績評価指標）を3つ提案し、その選定理由も簡潔に説明してください。

#制約条件
*   中小企業でも実行可能な、現実的でコストを抑えた提案を重視してください。
*   専門用語は避け、経営者から現場担当者まで、誰もが理解できる平易な言葉で説明してください。
*   単なるアイデアの羅列ではなく、具体的で説得力のある戦略として体系立てて記述してください。
」"
,66,「神対応」と呼ばれるような素晴らしい顧客対応をした社員がいても、その行動が評価されず、ノウハウも社内で共有されない。,素晴らしい顧客対応をした社員がいても、そのノウハウをヒアリングし、他の社員が学べるような形式知にまとめる時間が取れていない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（神対応が評価・共有されない用） ▼▼▼
あなたは、中小企業の組織開発を専門とする経験豊富な経営コンサルタントです。

# 背景
私の会社は中小企業です。現場では、お客様から「神対応」と絶賛されるような素晴らしい顧客対応をする社員が時々現れます。

# 課題
しかし、残念ながらその素晴らしい行動が正当に評価されず、本人のモチベーション低下につながっています。また、その貴重なノウハウが個人の経験にとどまり、組織の資産として共有・活用される仕組みがありません。

# 命令
この深刻な問題を解決するため、以下のステップに従って、具体的で実行可能なアクションプランを提案してください。

### ステップ1: 原因分析
この問題が起こる根本的な原因を「評価制度」「情報共有の仕組み」「企業文化」の3つの観点から多角的に分析してください。

### ステップ2: 解決策の提案
分析した原因を基に、以下の3つのテーマで具体的な解決策を提案してください。提案は、中小企業でも低コストですぐに始められるような、実践的なアイデアを重視してください。

*   **テーマ1: 神対応を正当に評価する仕組み作り**
*   **テーマ2: 神対応のノウハウを組織全体で共有・活用する仕組み作り**
*   **テーマ3: 顧客志向の行動を奨励し、称賛する企業文化の醸成**

# 出力形式
各解決策について、「具体的なアクションプラン」「導入のメリット」「実行する上でのポイント」を明確に分けて、マークダウン形式で分かりやすく整理して提示してください。
」"
,67,ECサイトの購入プロセスが複雑で、途中で面倒になって離脱する顧客（カゴ落ち）が多いことに気づいていない。,ECサイトのカゴ落ち率が高いことに気づいても、その原因を分析し、購入プロセスを改善するという、時間のかかる作業に着手できない。,"「#### ▼▼▼ Geminiへのコピペ用プロンプト（ECサイトのカゴ落ちに気づいていない用） ▼▼▼
#役割
あなたは、中小企業のECサイトが抱える課題を的確に見抜き、具体的な改善策を提示するプロのECコンサルタントです。

#前提条件
*   クライアント：中小企業のEC担当者
*   クライアントの状況：ECサイトのアクセス数はあるものの、売上が伸び悩んでいる。その原因が「購入プロセスの複雑さによるカゴ落ち」にあることに、まだ気づいていない。

#依頼事項
上記のクライアントに対して、あなたがコンサルティングを行うという設定で、以下の内容を含むレポートを作成してください。

1.  **問題の指摘とインパクトの提示**
    *   売上低迷の隠れた真犯人として「カゴ落ち」が存在する可能性を、衝撃的かつ分かりやすく指摘してください。
    *   カゴ落ち率の業界平均や、カゴ落ちが売上に与える具体的な損失額のシミュレーション例（例：月商300万円、カゴ落ち率70%の場合など）を提示し、問題の深刻さを認識させてください。

2.  **カゴ落ち原因のセルフチェックリスト**
    *   クライアントが自社のECサイトを客観的に評価できるよう、カゴ落ちを引き起こす代表的な原因を10個、優先度の高い順にチェックリスト形式で提示してください。
    *   各項目には、「なぜそれが問題なのか」という簡単な解説を加えてください。

3.  **すぐに着手できるTOP3改善アクション**
    *   上記チェックリストの中でも特に効果が高く、かつ中小企業でも低コスト・短期間で実行可能な改善策を3つ厳選してください。
    *   それぞれの改善策について、「何を」「どのように」変更すればよいのか、具体的な手順と改善イメージ（Before/Afterの例など）を分かりやすく説明してください。

#出力形式
*   あなたは、この問題の重要性を知らない担当者にも響くよう、丁寧でありながらも、危機感を抱かせるようなプロフェッショナルな口調で記述してください。
*   専門用語は極力避け、図や表（マークダウンで表現できる範囲）を効果的に使用して、視覚的に理解しやすいレポートを作成してください。
」"
,68,自動音声ガイダンスの待ち時間が長すぎたり、部署をたらい回しにされたりして、顧客にストレスを与えている。,自動音声ガイダンスの改善など、顧客のストレスを軽減するための地道な業務改善に、時間を投資できていない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（顧客対応のたらい回しと待ち時間問題用） ▼▼▼
あなたは、中小企業の業務改善を専門とする非常に優秀な経営コンサルタントです。
私たちの会社が抱える以下の深刻な問題について、限られたリソース（人材、予算）でも実行可能な、具体的で実践的な解決策を提案してください。

# 課題状況
- 顧客からの電話問い合わせで、自動音声ガイダンス（IVR）の待ち時間が長すぎる。
- 担当者につながっても、別の部署に何度も電話を転送する「たらい回し」が頻繁に発生している。
- 上記の結果、顧客に多大なストレスを与え、クレーム増加と顧客満足度の著しい低下を招いている。

# 命令
この問題を解決するための、包括的なアクションプランを以下の形式で作成してください。

---

### **1. 問題の根本原因分析（3つの視点）**
この問題を引き起こしている根本的な原因を「プロセス」「ツール」「組織・人材」の3つの視点から分析してください。

### **2. 具体的な改善策提案（短期・中期）**
以下の2つの時間軸で、明日からでも着手できるような具体的なアクションを提案してください。

**A. 短期的な改善策（1ヶ月以内に実施可能・低コスト）**
- **A-1. 自動音声ガイダンスの改善:**
- **A-2. たらい回し防止策:**
- **A-3. 顧客への情報提供強化:**

**B. 中期的な改善策（3ヶ月～半年で実施）**
- **B-1. 問い合わせ内容の分析とFAQ整備:**
- **B-2. 部署間の連携強化:**
- **B-3. ツールの見直し・導入検討:**

### **3. 導入の最初のステップ（最初の1ヶ月の行動計画）**
提案内容のうち、まず何から手をつけるべきか、具体的なタスクと担当部署の例を含む、最初の1ヶ月間の行動計画をステップ形式で示してください。

### **4. 期待される効果と成功のためのポイント**
提案した改善策を実行することで得られる効果と、計画を成功に導くための重要なポイントを簡潔にまとめてください。
」"
"E. ブランディングへの誤解と軽視 編

（ブランディングを「ロゴ作成」や「広告」など表面的な活動としか捉えていない、またはその重要性を理解せず不要だと考えている状況）
",69,「うちみたいな中小企業は、まず価格で勝負するしかない」と思い込み、価値を高めて高く売る努力を最初から放棄している。,価格競争から脱却するために、自社の価値を顧客に伝え、ブランド力を高めるという、時間のかかる活動に着手する余裕がない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（価格競争への思い込み用） ▼▼▼
#役割
あなたは、中小企業のブランディングと高付加価値化戦略を専門とする、経験豊富な経営コンサルタントです。数々の企業を価格競争から脱却させ、利益率を大幅に改善させた実績を持っています。

#背景
私は[あなたの業種、例：製造業、ITサービス、飲食店など]を営む中小企業の経営者です。
私たちの主な製品/サービスは[あなたの製品/サービス]です。

#課題
長年、「うちのような中小企業は、大手と比べて知名度も資本力もない。だから、まずは価格で勝負するしかない」という強い思い込みに囚われています。その結果、本来提供できるはずの価値を高め、それを価格に反映させる努力を最初から放棄してしまっている状態です。このままでは利益が圧迫され、社員に報いることも、未来への投資もままなりません。

#依頼事項
この絶望的な状況を打破し、価格競争から脱却するための具体的な戦略と実行プランを、以下のステップで体系的に提案してください。

1.  **マインドセット変革**: 私たちの「価格でしか勝負できない」という思い込みを根本から覆すための、力強い視点や考え方を3つ提示してください。経営陣がハッとするような、具体的な事例を交えて説明してください。

2.  **価値の再発見ワークショップ**: 私たち自身が気づいていない自社の「隠れた強み」や「独自の価値」を掘り起こすための、具体的な質問リストを10個作成してください。この質問に答えることで、自社の提供価値が明確になるように設計してください。

3.  **高付加価値化戦略の立案**:
    *   ステップ2で発見した価値を、具体的な商品やサービス、顧客体験に落とし込むためのアイデアを、少なくとも5つ提案してください。（例：アフターサービスの充実、専門性の高いコンサルティングの付加、顧客コミュニティの形成など）
    *   これらのアイデアを、どのように顧客に魅力的に伝え、価格に正当性を持たせるか（価値の言語化・可視化）について、具体的な方法を教えてください。

4.  **成功事例の提示**: 私たちと同じような悩みを抱えていた中小企業が、高付加価値化に成功した事例を、異なる業種から3つ挙げてください。どのような戦略で成功したのか、その要点を分かりやすく解説してください。

#出力形式
*   各ステップは明確に見出しを立てて、箇条書きや表を用いて分かりやすく整理してください。
*   専門用語は避け、中小企業の経営者がすぐに行動に移せるような、実践的かつ具体的な言葉で記述してください。
*   単なる精神論ではなく、明日から実行できるアクションプランに繋がるように、ロジカルに説明してください。
」"
,70,「BtoBの取引は、機能と価格と担当者の人間関係で決まるから、会社のブランドなんて関係ない」と本気で思っている。,BtoBの取引においても、会社のブランドイメージが重要であることを、日々の案件に追われる中で、なかなか意識することができない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（BtoBブランディング軽視用） ▼▼▼

# 役割
あなたは、中小企業のBtoBビジネスに精通した、経験豊富な経営コンサルタントです。

# 背景
これから、ある中小企業の経営者もしくは営業責任者から相談を受けます。
その相談者は、以下のような強い信念を持っています。

**相談者の信念:**
「BtoBの取引は、結局のところ『製品の機能』『価格』そして担当者との『人間関係』。この3つが全てだ。だから、うちのような会社が""ブランド""なんていう曖昧なものにお金や時間をかけるのは、全くの無駄だ。」

# 命令
この相談者の信念を一方的に否定するのではなく、まずはその考えに深く共感を示した上で、BtoBにおけるブランディングの真の価値と、それが「機能・価格・人間関係」という既存の強みをいかに増幅させるかを、具体的かつ納得感のある形でレクチャーしてください。

# 出力形式
以下の構成で、相談者の心が動くような説得力のあるアドバイスを生成してください。

1.  **【共感と問題提起】**: まず、「そのお考えは、現場のリアルな感覚として非常によく分かります」と切り出し、なぜそう考えるのが自然なのかを説明します。その上で、「しかし、もし""ブランド""という見えない力が、あなたの会社の『価格決定力』を高め、『人間関係』の構築をスムーズにし、さらには『機能』への信頼を補強するとしたら、少し興味が湧きませんか？」と、思考を促す問いを投げかけてください。

2.  **【BtoBブランドがもたらす具体的なメリット】**: BtoB企業がブランディングに取り組むことで得られる具体的なメリットを、以下の観点から、中小企業の経営者が「なるほど！」と膝を打つような分かりやすい言葉で、箇条書きで説明してください。
    *   **価格競争からの脱却**: なぜブランドがあると「価格が少し高くても選ばれる」状況が生まれるのか。
    *   **営業活動の効率化**: なぜブランドがあると、初対面の相手からの信頼を得やすく、営業担当者の「人間関係」構築が格段に楽になるのか。
    *   **見えない決裁者へのアピール**: なぜブランドは、商談の場にいない決裁者や関連部署の意思決定にまで好影響を与えるのか。
    *   **優秀な人材の獲得**: なぜブランドがあると、会社の将来性を感じた優秀な人材が集まりやすくなるのか。

3.  **【中小企業の成功事例】**: 誰でも知っている大企業ではなく、中小企業がBtoBブランディングで成功した事例を1つ、簡潔に紹介してください。どのような課題を、どのようなブランディング活動で解決したのかが分かるように記述してください。

4.  **【今日からできる第一歩】**: 相談者が「それならうちでもできそうだ」と思えるような、低コストで今日から始められる具体的なアクションプランを3つ提案してください。

# トーン
*   上から目線ではなく、相談者に寄り添うパートナーのような口調で。
*   専門用語は極力避け、比喩や具体例を多用してください。
*   ポジティブで、行動を促すような力強いメッセージで締めくくってください。
」"
,71,ブランディングを「お金をかけてWebサイトやパンフレットをオシャレにすること」だと考えており、その根幹にある理念や価値の整理を怠る。,ブランディングを、Webサイトやパンフレットをオシャレにすることだと考え、その根幹にある理念や価値を、時間をかけて整理・言語化できていない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（ブランディングの本質理解用） ▼▼▼
# 指示
あなたは、数多くの中小企業を成功に導いてきた、経験豊富なブランドコンサルタントです。
ある中小企業の経営者が、ブランディングを「Webサイトやパンフレットのデザインをオシャレにすること」だと考えており、その土台となる「企業の理念や独自の価値」の整理を軽視しています。
この経営者に対して、ブランディングの本質を理解させ、正しいステップへ導くためのアドバイスを、以下の構成で作成してください。

# 構成
## 1. デザイン先行ブランディングの落とし穴
経営者の気持ちに共感を示しつつ、なぜ「見た目から入る」アプローチが危険なのか、中小企業が陥りがちな失敗例を3つ、具体的に挙げてください。

## 2. ブランディングの本当の意味とは？
「ブランディング」とは何か、その本質を専門用語を使わずに、中小企業の経営者が「なるほど！」と膝を打つような、分かりやすい例えを使って説明してください。

## 3. 会社の「宝」を見つけるための5つの魔法の質問
経営者が自社の「理念」や「独自の価値」という宝物を自分自身で発見できるように、コンサルタントとして以下の観点から5つの質問を投げかけてください。
*   創業の原点
*   お客様が真に喜ぶ瞬間
*   競合には絶対に負けない強み
*   社員が誇りを持てる理由
*   会社が目指す未来の姿

## 4. 理念をデザインに落とし込むためのロードマップ
発見した「理念」や「価値」を、最終的にWebサイトやパンフレットという具体的なデザインに反映させるまでのプロセスを、5つの簡単なステップで示してください。これにより、「理念の整理が全ての土台であること」を明確に伝えます。

# スタイル
*   中小企業の経営者に語りかける、丁寧で、かつ力強く背中を押すような口調で記述してください。
*   箇条書きや番号付きリストを効果的に使用し、視覚的に分かりやすく構成してください。
*   あなたの前置きや挨拶は一切不要です。上記の構成に沿って、回答を生成してください。
」"
